"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/07/2023";"0000";"28,4";"78,0";"";"0,0";"0,0";"0,0";"";"32,8";"";""
"01/07/2023";"1200";"20,9";"96,0";"";"0,0";"0,0";"";"";"";"20,7";"0,0"
"01/07/2023";"1800";"32,4";"56,0";"";"1,0";"180,0";"5,0";"";"";"";""
"02/07/2023";"0000";"26,8";"100,0";"";"0,0";"0,0";"0,0";"";"34,0";"";""
"02/07/2023";"1200";"19,1";"96,0";"";"0,0";"0,0";"0,0";"";"";"18,9";"0,0"
"02/07/2023";"1800";"32,6";"52,0";"";"1,0";"180,0";"0,0";"";"";"";""
"03/07/2023";"0000";"27,8";"77,0";"";"0,0";"0,0";"0,0";"";"33,4";"";""
"03/07/2023";"1200";"19,9";"96,0";"";"0,0";"0,0";"";"";"";"18,9";"0,0"
"03/07/2023";"1800";"32,4";"52,0";"";"1,0";"360,0";"3,8";"";"";"";""
"04/07/2023";"0000";"28,6";"72,0";"";"0,0";"0,0";"0,0";"";"34,4";"";""
"04/07/2023";"1200";"20,7";"96,0";"";"0,0";"0,0";"";"";"";"19,7";"0,0"
"04/07/2023";"1800";"33,5";"51,0";"";"1,0";"360,0";"6,3";"";"";"";""
"05/07/2023";"0000";"29,0";"75,0";"";"0,0";"0,0";"0,0";"";"34,2";"";""
"05/07/2023";"1200";"22,6";"96,0";"";"0,0";"0,0";"6,3";"";"";"20,5";"0,0"
"05/07/2023";"1800";"33,5";"55,0";"";"2,1";"360,0";"6,3";"";"";"";""
"06/07/2023";"0000";"29,2";"78,0";"";"0,0";"0,0";"0,0";"";"34,6";"";""
"06/07/2023";"1200";"23,2";"96,0";"";"0,0";"0,0";"";"";"";"22,6";"0,0"
"06/07/2023";"1800";"33,7";"56,0";"";"2,1";"360,0";"5,0";"";"";"";""
"07/07/2023";"0000";"29,6";"81,0";"";"0,0";"0,0";"0,0";"";"34,4";"";""
"07/07/2023";"1200";"23,4";"95,0";"";"0,0";"0,0";"2,5";"";"";"23,0";"0,0"
"07/07/2023";"1800";"33,0";"63,0";"";"1,0";"360,0";"5,0";"";"";"";""
"08/07/2023";"0000";"28,4";"84,0";"";"0,0";"0,0";"0,0";"";"33,0";"";""
"08/07/2023";"1200";"22,8";"96,0";"";"0,0";"0,0";"3,8";"";"";"22,8";"0,0"
"08/07/2023";"1800";"";"99,0";"";"1,0";"360,0";"7,5";"";"";"";""
"09/07/2023";"0000";"26,0";"91,0";"";"0,0";"0,0";"2,5";"";"32,6";"";""
"09/07/2023";"1200";"23,4";"95,0";"";"0,0";"0,0";"10,0";"";"";"23,0";"0,0"
"09/07/2023";"1800";"30,4";"72,0";"";"1,0";"360,0";"7,5";"";"";"";""
"10/07/2023";"0000";"27,0";"83,0";"";"0,0";"0,0";"0,0";"";"34,4";"";""
"10/07/2023";"1200";"21,4";"95,0";"";"0,0";"0,0";"";"";"";"21,4";"0,0"
"10/07/2023";"1800";"28,4";"74,0";"";"1,0";"180,0";"5,0";"";"";"";""
"11/07/2023";"0000";"29,4";"75,0";"";"0,0";"0,0";"0,0";"";"35,0";"";""
"11/07/2023";"1200";"21,6";"97,0";"";"0,0";"0,0";"";"";"";"21,4";"0,0"
"11/07/2023";"1800";"33,9";"55,0";"";"1,0";"360,0";"2,5";"";"";"";""
"12/07/2023";"0000";"29,0";"80,0";"";"0,0";"0,0";"0,0";"";"34,4";"";""
"12/07/2023";"1200";"22,2";"95,0";"";"0,0";"0,0";"";"";"";"21,6";"0,0"
"12/07/2023";"1800";"33,3";"55,0";"";"2,1";"360,0";"5,0";"";"";"";""
"13/07/2023";"0000";"30,4";"72,0";"";"0,0";"0,0";"0,0";"";"35,0";"";""
"13/07/2023";"1200";"22,4";"95,0";"";"0,0";"0,0";"";"";"";"22,0";"0,0"
"13/07/2023";"1800";"33,7";"55,0";"";"1,0";"360,0";"6,3";"";"";"";""
"14/07/2023";"0000";"29,0";"80,0";"";"0,0";"0,0";"0,0";"";"34,8";"";""
"14/07/2023";"1200";"23,6";"94,0";"";"0,0";"0,0";"";"";"";"22,6";"0,0"
"14/07/2023";"1800";"34,3";"56,0";"";"2,1";"180,0";"7,5";"";"";"";""
"15/07/2023";"0000";"27,4";"82,0";"";"2,1";"180,0";"10,0";"";"27,4";"";""
"15/07/2023";"1200";"19,5";"94,0";"";"1,0";"180,0";"10,0";"";"";"19,5";"10,4"
"15/07/2023";"1800";"21,8";"85,0";"";"2,1";"180,0";"10,0";"";"";"";""
"16/07/2023";"0000";"21,6";"88,0";"";"0,0";"0,0";"10,0";"";"31,0";"";""
"16/07/2023";"1200";"19,9";"95,0";"";"0,0";"0,0";"10,0";"";"";"19,3";"0,0"
"16/07/2023";"1800";"";"";"";"";"";"";"";"";"";""
"17/07/2023";"0000";"27,2";"82,0";"";"0,0";"0,0";"5,0";"";"33,2";"";""
"17/07/2023";"1200";"20,5";"99,0";"";"0,0";"0,0";"";"";"";"19,7";"0,0"
"17/07/2023";"1800";"32,2";"65,0";"";"2,1";"180,0";"7,5";"";"";"";""
"18/07/2023";"0000";"28,0";"79,0";"";"1,0";"360,0";"10,0";"";"31,0";"";""
"18/07/2023";"1200";"23,0";"96,0";"";"0,0";"0,0";"10,0";"";"";"20,5";"3,0"
"18/07/2023";"1800";"30,6";"71,0";"";"1,0";"360,0";"7,5";"";"";"";""
"19/07/2023";"0000";"25,4";"93,0";"";"0,0";"0,0";"10,0";"";"30,4";"";""
