"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/08/2022";"0000";"27,2";"28,1";"27,2";"82,0";"82,0";"75,0";"24,0";"24,0";"23,3";"1011,1";"1011,1";"1010,0";"1,5";"149,0";"4,7";"";"0,0"
"01/08/2022";"0100";"28,1";"28,1";"27,2";"73,0";"82,0";"72,0";"22,8";"24,0";"22,7";"1011,5";"1011,5";"1011,1";"2,6";"61,0";"5,8";"";"0,0"
"01/08/2022";"0200";"26,7";"28,1";"26,7";"82,0";"82,0";"73,0";"23,2";"23,2";"22,8";"1011,7";"1011,8";"1011,4";"0,9";"10,0";"4,9";"";"0,0"
"01/08/2022";"0300";"26,1";"26,7";"26,0";"86,0";"87,0";"82,0";"23,6";"23,7";"23,3";"1011,8";"1011,8";"1011,6";"0,8";"53,0";"2,5";"";"0,0"
"01/08/2022";"0400";"25,7";"26,2";"25,7";"87,0";"87,0";"85,0";"23,4";"23,7";"23,4";"1011,5";"1011,9";"1011,5";"0,6";"38,0";"2,6";"";"0,0"
"01/08/2022";"0500";"25,4";"25,8";"25,3";"90,0";"90,0";"87,0";"23,7";"23,7";"23,4";"1011,1";"1011,5";"1011,1";"1,1";"318,0";"1,8";"";"0,0"
"01/08/2022";"0600";"25,2";"25,4";"25,1";"91,0";"92,0";"90,0";"23,6";"23,7";"23,5";"1010,8";"1011,2";"1010,8";"0,6";"360,0";"1,9";"";"0,0"
"01/08/2022";"0700";"24,7";"25,2";"24,7";"93,0";"93,0";"91,0";"23,5";"23,6";"23,4";"1010,5";"1010,9";"1010,5";"0,8";"316,0";"1,9";"";"0,0"
"01/08/2022";"0800";"24,6";"24,7";"24,6";"94,0";"94,0";"93,0";"23,5";"23,6";"23,4";"1010,3";"1010,5";"1010,3";"1,6";"324,0";"2,3";"";"0,0"
"01/08/2022";"0900";"24,8";"24,8";"24,6";"94,0";"94,0";"94,0";"23,7";"23,7";"23,6";"1010,7";"1010,7";"1010,3";"0,8";"249,0";"3,0";"";"0,0"
"01/08/2022";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/08/2022";"1100";"25,3";"25,3";"24,4";"92,0";"94,0";"92,0";"24,0";"24,1";"23,2";"1011,8";"1011,8";"1010,7";"1,2";"144,0";"2,4";"235,00";"0,0"
"01/08/2022";"1200";"26,3";"26,4";"25,3";"83,0";"92,0";"83,0";"23,1";"23,9";"23,1";"1012,2";"1012,2";"1011,8";"1,0";"191,0";"2,8";"591,00";"0,0"
"01/08/2022";"1300";"27,0";"27,4";"26,3";"84,0";"85,0";"77,0";"24,1";"24,3";"22,8";"1012,4";"1012,4";"1012,1";"1,6";"356,0";"3,1";"1225,90";"0,0"
"01/08/2022";"1400";"29,0";"29,2";"26,7";"73,0";"84,0";"73,0";"23,6";"24,4";"23,4";"1012,6";"1012,8";"1012,4";"1,6";"99,0";"3,6";"1442,10";"0,0"
"01/08/2022";"1500";"30,4";"30,8";"28,7";"63,0";"75,0";"61,0";"22,7";"24,4";"21,8";"1011,8";"1012,6";"1011,8";"2,0";"34,0";"4,1";"3228,80";"0,0"
"01/08/2022";"1600";"31,0";"31,0";"29,5";"61,0";"66,0";"59,0";"22,7";"23,0";"21,8";"1010,9";"1011,8";"1010,9";"2,3";"67,0";"5,3";"3046,10";"0,0"
"01/08/2022";"1700";"30,1";"31,6";"30,0";"64,0";"64,0";"56,0";"22,6";"23,2";"21,4";"1010,1";"1010,9";"1010,1";"2,4";"91,0";"5,8";"2836,30";"0,0"
"01/08/2022";"1800";"30,9";"31,3";"29,6";"56,0";"67,0";"54,0";"21,1";"23,2";"20,8";"1009,1";"1010,2";"1009,0";"2,9";"102,0";"6,7";"2264,10";"0,0"
"01/08/2022";"1900";"30,5";"31,6";"30,2";"59,0";"61,0";"56,0";"21,5";"22,3";"21,1";"1007,9";"1009,1";"1007,9";"2,5";"71,0";"6,7";"2163,10";"0,0"
"01/08/2022";"2000";"30,6";"30,9";"30,4";"57,0";"59,0";"55,0";"21,2";"21,9";"20,7";"1007,6";"1007,9";"1007,6";"2,2";"66,0";"5,5";"1486,70";"0,0"
"01/08/2022";"2100";"29,7";"30,8";"29,6";"65,0";"65,0";"58,0";"22,3";"22,4";"21,2";"1007,5";"1007,6";"1007,4";"2,6";"72,0";"5,8";"686,20";"0,0"
"01/08/2022";"2200";"29,1";"29,7";"29,1";"72,0";"72,0";"65,0";"23,5";"23,5";"22,2";"1007,9";"1008,0";"1007,5";"2,2";"95,0";"5,2";"46,00";"0,0"
"01/08/2022";"2300";"25,6";"29,2";"25,4";"91,0";"91,0";"70,0";"24,0";"24,0";"22,9";"1009,1";"1009,1";"1007,9";"1,8";"136,0";"7,8";"";"3,2"
"02/08/2022";"0000";"25,2";"25,7";"25,0";"92,0";"93,0";"90,0";"23,8";"24,2";"23,4";"1009,9";"1009,9";"1009,1";"1,2";"242,0";"5,1";"";"1,0"
"02/08/2022";"0100";"25,1";"25,2";"25,0";"94,0";"94,0";"92,0";"24,0";"24,1";"23,7";"1010,8";"1010,8";"1009,9";"1,0";"306,0";"3,0";"";"0,0"
"02/08/2022";"0200";"25,3";"25,5";"25,1";"94,0";"94,0";"93,0";"24,2";"24,4";"24,0";"1011,0";"1011,1";"1010,8";"1,4";"247,0";"2,4";"0,40";"0,0"
"02/08/2022";"0300";"25,8";"26,1";"25,3";"92,0";"94,0";"90,0";"24,4";"24,5";"24,2";"1011,2";"1011,2";"1010,9";"0,6";"202,0";"3,2";"0,40";"0,0"
"02/08/2022";"0400";"26,2";"26,3";"25,8";"91,0";"93,0";"90,0";"24,6";"24,7";"24,4";"1010,4";"1011,2";"1010,4";"1,1";"63,0";"4,6";"";"0,2"
"02/08/2022";"0500";"25,7";"26,2";"25,6";"91,0";"92,0";"90,0";"24,2";"24,7";"24,0";"1010,0";"1010,4";"1009,9";"1,1";"19,0";"3,3";"1,70";"0,0"
"02/08/2022";"0600";"24,9";"25,7";"24,9";"94,0";"94,0";"91,0";"23,9";"24,2";"23,8";"1009,5";"1010,1";"1009,5";"1,3";"8,0";"3,5";"";"0,6"
"02/08/2022";"0700";"24,8";"24,9";"24,7";"95,0";"95,0";"94,0";"23,8";"23,9";"23,7";"1009,4";"1009,5";"1009,3";"0,8";"278,0";"2,6";"";"0,0"
"02/08/2022";"0800";"24,6";"24,8";"24,5";"95,0";"95,0";"95,0";"23,7";"23,9";"23,7";"1009,4";"1009,5";"1009,2";"0,7";"282,0";"2,1";"";"1,0"
"02/08/2022";"0900";"24,5";"24,6";"24,5";"96,0";"96,0";"95,0";"23,8";"23,8";"23,7";"1009,5";"1009,6";"1009,4";"0,8";"312,0";"1,6";"";"0,0"
