"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/08/2021";"0000";"26,6";"85,0";"1012,6";"1,3";"90,0";"7,0";"8,00";"33,0";"";""
"01/08/2021";"1200";"27,2";"85,0";"1015,5";"1,0";"270,0";"10,0";"";"";"25,3";"0,0"
"01/08/2021";"1800";"32,6";"63,0";"1012,4";"3,6";"90,0";"7,5";"";"";"";""
"02/08/2021";"0000";"25,6";"93,0";"1014,5";"0,0";"0,0";"10,0";"5,50";"33,2";"";""
"02/08/2021";"1200";"27,2";"88,0";"1014,4";"0,0";"0,0";"8,8";"";"";"23,5";"3,0"
"02/08/2021";"1800";"32,6";"60,0";"1011,7";"2,6";"110,0";"7,5";"";"";"";""
"03/08/2021";"0000";"26,6";"87,0";"1013,0";"0,0";"0,0";"6,3";"7,00";"33,6";"";""
"03/08/2021";"1200";"27,2";"86,0";"1014,0";"1,0";"360,0";"10,0";"";"";"24,9";"0,0"
"03/08/2021";"1800";"33,2";"61,0";"1010,7";"1,0";"180,0";"7,5";"";"";"";""
"04/08/2021";"0000";"28,2";"85,0";"1011,6";"0,0";"0,0";"7,5";"10,40";"34,6";"";""
"04/08/2021";"1200";"28,0";"77,0";"1012,9";"1,5";"50,0";"2,5";"";"";"23,5";"0,0"
"04/08/2021";"1800";"34,4";"55,0";"1010,4";"0,0";"0,0";"2,5";"";"";"";""
"05/08/2021";"0000";"28,7";"80,0";"1011,4";"0,0";"0,0";"3,8";"9,10";"32,8";"";""
"05/08/2021";"1200";"27,2";"83,0";"1009,8";"1,0";"360,0";"7,5";"";"";"24,9";"0,0"
"05/08/2021";"1800";"32,2";"63,0";"1010,8";"2,6";"90,0";"2,5";"";"";"";""
"06/08/2021";"0000";"28,5";"81,0";"1012,1";"1,5";"50,0";"3,8";"10,00";"34,5";"";""
