"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/08/2020";"0000";"26,0";"92,0";"";"2,0";"140,0";"0,0";"8,50";"35,6";"";""
"01/08/2020";"1200";"24,4";"95,0";"";"2,0";"320,0";"7,0";"";"";"21,6";"0,0"
"01/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"02/08/2020";"0000";"27,0";"91,0";"";"2,0";"270,0";"7,0";"9,20";"34,2";"";""
"02/08/2020";"1200";"";"";"";"";"";"";"";"";"";""
"02/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"03/08/2020";"0000";"";"";"";"";"";"";"9,20";"34,8";"";""
"03/08/2020";"1200";"23,8";"98,0";"";"2,0";"230,0";"6,0";"";"";"22,0";"0,0"
"03/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"04/08/2020";"0000";"27,8";"98,0";"";"2,0";"90,0";"6,0";"9,50";"35,2";"";""
"04/08/2020";"1200";"24,4";"97,0";"";"2,0";"90,0";"0,0";"";"";"21,7";"0,0"
"04/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"05/08/2020";"0000";"26,8";"92,0";"";"2,0";"90,0";"0,0";"9,10";"34,8";"";""
"05/08/2020";"1200";"25,4";"93,0";"";"2,0";"90,0";"8,0";"";"";"24,2";"0,0"
"05/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"06/08/2020";"0000";"29,0";"88,0";"";"2,0";"90,0";"10,0";"7,50";"33,8";"";""
"06/08/2020";"1200";"24,0";"97,0";"";"2,0";"360,0";"8,0";"";"";"23,6";"4,8"
"06/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"07/08/2020";"0000";"27,2";"89,0";"";"2,0";"90,0";"3,0";"6,70";"33,8";"";""
"07/08/2020";"1200";"23,8";"97,0";"";"2,0";"50,0";"8,0";"";"";"21,7";"0,0"
"07/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"08/08/2020";"0000";"27,2";"91,0";"";"2,0";"80,0";"2,0";"9,00";"34,6";"";""
"08/08/2020";"1200";"24,4";"97,0";"";"2,0";"50,0";"8,0";"";"";"22,7";"0,0"
"08/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"09/08/2020";"0000";"27,3";"91,0";"";"2,0";"140,0";"2,0";"9,00";"35,0";"";""
"09/08/2020";"1200";"";"";"";"";"";"";"";"";"";""
"09/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"10/08/2020";"0000";"";"";"";"";"";"";"9,00";"34,6";"";""
"10/08/2020";"1200";"25,0";"97,0";"";"2,0";"90,0";"8,0";"";"";"22,2";"0,0"
"10/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"11/08/2020";"0000";"27,3";"91,0";"";"2,0";"90,0";"2,0";"5,70";"34,2";"";""
"11/08/2020";"1200";"24,6";"98,0";"";"2,0";"140,0";"10,0";"";"";"22,7";"0,0"
"11/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"12/08/2020";"0000";"27,4";"89,0";"";"2,0";"90,0";"7,0";"5,00";"34,4";"";""
"12/08/2020";"1200";"25,2";"93,0";"";"2,0";"90,0";"10,0";"";"";"23,3";"0,0"
"12/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"13/08/2020";"0000";"25,7";"92,0";"";"3,0";"360,0";"10,0";"6,70";"34,6";"";""
"13/08/2020";"1200";"25,0";"97,0";"";"2,0";"50,0";"10,0";"";"";"22,7";"0,0"
"13/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"14/08/2020";"0000";"26,8";"96,0";"";"2,0";"140,0";"10,0";"9,20";"35,0";"";""
"14/08/2020";"1200";"25,0";"97,0";"";"2,0";"50,0";"8,0";"";"";"23,6";"0,0"
"14/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"15/08/2020";"0000";"28,0";"90,0";"";"2,0";"90,0";"0,0";"9,70";"37,2";"";""
"15/08/2020";"1200";"24,2";"93,0";"";"2,0";"50,0";"0,0";"";"";"22,0";"0,0"
"15/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"16/08/2020";"0000";"28,2";"86,0";"";"2,0";"140,0";"0,0";"9,00";"36,2";"";""
"16/08/2020";"1200";"";"";"";"";"";"";"";"";"";""
"16/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"17/08/2020";"0000";"";"";"";"";"";"";"9,50";"36,0";"";""
"17/08/2020";"1200";"26,4";"88,0";"";"3,0";"360,0";"4,0";"";"";"23,3";"0,0"
"17/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"18/08/2020";"0000";"29,6";"83,0";"";"2,0";"270,0";"10,0";"7,70";"34,2";"";""
"18/08/2020";"1200";"25,0";"97,0";"";"3,0";"360,0";"8,0";"";"";"23,6";"0,0"
"18/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
