"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/02/2022";"0000";"27,4";"75,0";"";"1,0";"50,0";"4,0";"7,70";"33,5";"";""
"01/02/2022";"1200";"26,2";"82,0";"";"1,0";"50,0";"7,0";"";"";"24,6";"3,0"
"01/02/2022";"1800";"";"";"";"";"";"";"";"";"";""
"02/02/2022";"0000";"27,9";"79,0";"";"1,0";"50,0";"0,0";"0,00";"29,8";"";""
"02/02/2022";"1200";"26,2";"85,0";"";"1,0";"50,0";"10,0";"";"";"23,8";"0,0"
"02/02/2022";"1800";"23,8";"98,0";"";"1,0";"50,0";"10,0";"";"";"";""
"03/02/2022";"0000";"24,1";"94,0";"";"1,0";"50,0";"10,0";"2,20";"31,3";"";""
"03/02/2022";"1200";"24,9";"96,0";"";"0,0";"0,0";"10,0";"";"";"23,9";"20,2"
"03/02/2022";"1800";"29,6";"73,0";"";"1,0";"50,0";"10,0";"";"";"";""
"04/02/2022";"0000";"26,8";"83,0";"";"1,0";"50,0";"7,0";"1,70";"29,6";"";""
"04/02/2022";"1200";"26,2";"89,0";"";"1,0";"50,0";"8,0";"";"";"23,0";"7,0"
"04/02/2022";"1800";"23,0";"97,0";"";"1,0";"50,0";"10,0";"";"";"";""
"05/02/2022";"0000";"24,2";"94,0";"";"0,0";"0,0";"8,0";"3,40";"31,3";"";""
"05/02/2022";"1200";"24,2";"95,0";"";"0,0";"0,0";"10,0";"";"";"23,4";"23,8"
"05/02/2022";"1800";"";"";"";"";"";"";"";"";"";""
"06/02/2022";"0000";"27,8";"77,0";"";"1,0";"50,0";"5,0";"0,60";"31,1";"";""
"06/02/2022";"1200";"";"";"";"";"";"";"";"";"";""
"06/02/2022";"1800";"";"";"";"";"";"";"";"";"";""
"07/02/2022";"0000";"";"";"";"";"";"";"5,80";"32,5";"";""
"07/02/2022";"1200";"25,2";"91,0";"";"0,0";"0,0";"9,0";"";"";"23,9";"31,6"
"07/02/2022";"1800";"";"";"";"";"";"";"";"";"";""
"08/02/2022";"0000";"27,4";"81,0";"";"0,0";"0,0";"2,0";"3,20";"31,8";"";""
"08/02/2022";"1200";"26,6";"91,0";"";"1,0";"180,0";"10,0";"";"";"24,7";"0,0"
"08/02/2022";"1800";"30,4";"65,0";"";"0,0";"0,0";"8,0";"";"";"";""
"09/02/2022";"0000";"24,8";"92,0";"";"0,0";"0,0";"9,0";"4,90";"32,5";"";""
"09/02/2022";"1200";"25,3";"92,0";"";"1,0";"140,0";"10,0";"";"";"23,8";"20,4"
"09/02/2022";"1800";"28,8";"76,0";"";"0,0";"0,0";"9,0";"";"";"";""
"10/02/2022";"0000";"28,1";"75,0";"";"1,0";"360,0";"6,0";"0,30";"30,0";"";""
"10/02/2022";"1200";"26,8";"86,0";"";"1,0";"50,0";"9,0";"";"";"25,8";"1,0"
"10/02/2022";"1800";"27,2";"85,0";"";"0,0";"0,0";"9,0";"";"";"";""
"11/02/2022";"0000";"26,4";"82,0";"";"0,0";"0,0";"8,0";"0,00";"28,5";"";""
"11/02/2022";"1200";"24,8";"92,0";"";"3,0";"50,0";"10,0";"";"";"24,8";"17,3"
"11/02/2022";"1800";"26,4";"84,0";"";"0,0";"0,0";"10,0";"";"";"";""
"12/02/2022";"0000";"25,7";"87,0";"";"0,0";"0,0";"7,0";"5,00";"34,2";"";""
"12/02/2022";"1200";"24,8";"91,0";"";"0,0";"0,0";"9,0";"";"";"24,8";"0,8"
"12/02/2022";"1800";"32,4";"62,0";"";"0,0";"0,0";"8,0";"";"";"";""
"13/02/2022";"0000";"26,9";"88,0";"";"0,0";"0,0";"9,0";"0,00";"30,0";"";""
"13/02/2022";"1200";"";"";"";"";"";"";"";"";"";""
"13/02/2022";"1800";"";"";"";"";"";"";"";"";"";""
"14/02/2022";"0000";"";"";"";"";"";"";"0,00";"26,6";"";""
"14/02/2022";"1200";"24,4";"98,0";"";"1,0";"230,0";"10,0";"";"";"23,0";"24,0"
"14/02/2022";"1800";"23,0";"94,0";"";"1,0";"50,0";"10,0";"";"";"";""
"15/02/2022";"0000";"23,6";"93,0";"";"1,0";"360,0";"9,0";"0,70";"31,5";"";""
"15/02/2022";"1200";"24,6";"93,0";"";"0,0";"0,0";"10,0";"";"";"23,3";"10,5"
"15/02/2022";"1800";"28,8";"75,0";"";"0,0";"0,0";"10,0";"";"";"";""
"16/02/2022";"0000";"24,2";"83,0";"";"2,0";"50,0";"9,0";"5,50";"32,2";"";""
"16/02/2022";"1200";"24,2";"96,0";"";"1,0";"50,0";"6,0";"";"";"23,2";"2,8"
"16/02/2022";"1800";"30,0";"70,0";"";"1,0";"50,0";"6,0";"";"";"";""
"17/02/2022";"0000";"27,6";"81,0";"";"1,0";"50,0";"7,0";"2,00";"31,2";"";""
"17/02/2022";"1200";"24,9";"90,0";"";"1,0";"50,0";"10,0";"";"";"24,4";"4,0"
"17/02/2022";"1800";"28,8";"78,0";"";"1,0";"50,0";"9,0";"";"";"";""
"18/02/2022";"0000";"24,4";"97,0";"";"0,0";"0,0";"10,0";"0,00";"27,1";"";""
"18/02/2022";"1200";"24,4";"96,0";"";"0,0";"0,0";"10,0";"";"";"24,0";"14,2"
"18/02/2022";"1800";"27,4";"81,0";"";"2,0";"50,0";"10,0";"";"";"";""
"19/02/2022";"0000";"24,0";"97,0";"";"1,0";"50,0";"10,0";"0,00";"29,0";"";""
"19/02/2022";"1200";"23,6";"97,0";"";"0,0";"0,0";"10,0";"";"";"23,4";"74,0"
"19/02/2022";"1800";"";"";"";"";"";"";"";"";"";""
"20/02/2022";"0000";"26,4";"83,0";"";"1,0";"50,0";"8,0";"2,30";"30,0";"";""
"20/02/2022";"1200";"";"";"";"";"";"";"";"";"";""
"20/02/2022";"1800";"";"";"";"";"";"";"";"";"";""
"21/02/2022";"0000";"";"";"";"";"";"";"6,90";"32,5";"";""
"21/02/2022";"1200";"26,7";"80,0";"";"2,0";"50,0";"6,0";"";"";"24,0";"2,0"
"21/02/2022";"1800";"31,3";"62,0";"";"2,0";"50,0";"5,0";"";"";"";""
"22/02/2022";"0000";"28,7";"75,0";"";"1,0";"50,0";"4,0";"1,40";"32,1";"";""
"22/02/2022";"1200";"26,5";"91,0";"";"1,0";"90,0";"10,0";"";"";"25,9";"0,0"
"22/02/2022";"1800";"30,8";"70,0";"";"1,0";"90,0";"6,0";"";"";"";""
"23/02/2022";"0000";"26,4";"86,0";"";"1,0";"360,0";"6,0";"0,00";"27,8";"";""
"23/02/2022";"1200";"25,2";"90,0";"";"1,0";"50,0";"10,0";"";"";"24,0";"0,0"
"23/02/2022";"1800";"24,1";"93,0";"";"0,0";"0,0";"10,0";"";"";"";""
"24/02/2022";"0000";"24,7";"89,0";"";"0,0";"0,0";"8,0";"4,00";"33,0";"";""
"24/02/2022";"1200";"25,0";"94,0";"";"1,0";"90,0";"9,0";"";"";"23,4";"16,2"
"24/02/2022";"1800";"30,8";"67,0";"";"1,0";"50,0";"6,0";"";"";"";""
"25/02/2022";"0000";"27,8";"77,0";"";"0,0";"0,0";"6,0";"1,90";"32,1";"";""
"25/02/2022";"1200";"26,6";"80,0";"";"2,0";"90,0";"8,0";"";"";"23,4";"0,0"
"25/02/2022";"1800";"29,8";"70,0";"";"1,0";"50,0";"8,0";"";"";"";""
"26/02/2022";"0000";"27,6";"76,0";"";"0,0";"0,0";"8,0";"0,30";"30,7";"";""
"26/02/2022";"1200";"24,4";"92,0";"";"0,0";"0,0";"10,0";"";"";"24,0";"21,0"
"26/02/2022";"1800";"28,2";"72,0";"";"1,0";"50,0";"8,0";"";"";"";""
"27/02/2022";"0000";"27,4";"81,0";"";"0,0";"0,0";"8,0";"0,90";"32,2";"";""
"27/02/2022";"1200";"26,0";"93,0";"";"0,0";"0,0";"10,0";"";"";"23,8";"7,0"
"27/02/2022";"1800";"31,6";"70,0";"";"1,0";"230,0";"7,0";"";"";"";""
"28/02/2022";"0000";"25,3";"92,0";"";"0,0";"0,0";"6,0";"0,00";"31,0";"";""
"28/02/2022";"1200";"25,9";"92,0";"";"1,0";"50,0";"8,0";"";"";"24,4";"15,1"
"28/02/2022";"1800";"27,0";"81,0";"";"3,0";"50,0";"10,0";"";"";"";""
"01/03/2022";"0000";"24,4";"89,0";"";"0,0";"0,0";"7,0";"2,40";"32,8";"";""
"01/03/2022";"1200";"26,4";"88,0";"";"0,0";"0,0";"7,0";"";"";"23,6";"3,4"
"01/03/2022";"1800";"32,2";"64,0";"";"2,0";"140,0";"7,0";"";"";"";""
"02/03/2022";"0000";"23,9";"93,0";"";"0,0";"0,0";"10,0";"1,40";"30,1";"";""
"02/03/2022";"1200";"24,6";"95,0";"";"0,0";"0,0";"10,0";"";"";"23,5";"18,6"
"02/03/2022";"1800";"27,4";"83,0";"";"0,0";"0,0";"10,0";"";"";"";""
"03/03/2022";"0000";"26,4";"80,0";"";"0,0";"0,0";"8,0";"4,70";"32,6";"";""
"03/03/2022";"1200";"25,8";"85,0";"";"0,0";"0,0";"8,0";"";"";"23,4";"3,9"
"03/03/2022";"1800";"31,0";"62,0";"";"3,0";"90,0";"8,0";"";"";"";""
"04/03/2022";"0000";"27,0";"81,0";"";"0,0";"0,0";"8,0";"2,20";"30,9";"";""
"04/03/2022";"1200";"27,4";"83,0";"";"1,0";"90,0";"8,0";"";"";"24,0";"0,0"
"04/03/2022";"1800";"28,8";"71,0";"";"2,0";"50,0";"6,0";"";"";"";""
"05/03/2022";"0000";"25,6";"90,0";"";"0,0";"0,0";"6,0";"0,00";"29,3";"";""
