"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/08/2019";"0000";"";"";"";"";"";"";"";"";"";""
"01/08/2019";"1200";"";"";"";"";"";"";"";"";"";""
"01/08/2019";"1800";"";"";"";"";"";"";"";"";"";""
"02/08/2019";"0000";"";"";"";"";"";"";"";"";"";""
"02/08/2019";"1200";"";"";"";"";"";"";"";"";"";""
"02/08/2019";"1800";"";"";"";"";"";"";"";"";"";""
"03/08/2019";"0000";"";"";"";"";"";"";"";"";"";""
"03/08/2019";"1200";"";"";"";"";"";"";"";"";"";""
"03/08/2019";"1800";"";"";"";"";"";"";"";"";"";""
"04/08/2019";"0000";"";"";"";"";"";"";"";"";"";""
"04/08/2019";"1200";"";"";"";"";"";"";"";"";"";""
"04/08/2019";"1800";"";"";"";"";"";"";"";"";"";""
"05/08/2019";"0000";"";"";"";"";"";"";"7,30";"34,4";"";""
"05/08/2019";"1200";"28,3";"84,0";"1002,3";"";"360,0";"6,0";"";"";"21,3";"0,0"
"05/08/2019";"1800";"34,1";"69,0";"998,1";"";"90,0";"7,0";"";"";"";""
"06/08/2019";"0000";"28,1";"79,0";"1000,4";"";"0,0";"0,0";"7,60";"35,0";"";""
"06/08/2019";"1200";"28,5";"82,0";"1002,7";"";"270,0";"0,0";"";"";"21,4";"0,0"
"06/08/2019";"1800";"34,5";"65,0";"999,7";"";"180,0";"7,0";"";"";"";""
"07/08/2019";"0000";"27,3";"78,0";"1000,7";"";"90,0";"3,0";"8,70";"33,9";"";""
"07/08/2019";"1200";"29,0";"75,0";"1003,3";"";"180,0";"0,0";"";"";"22,1";"0,0"
"07/08/2019";"1800";"33,3";"74,0";"999,9";"";"180,0";"6,0";"";"";"";""
"08/08/2019";"0000";"28,5";"73,0";"1001,1";"";"0,0";"0,0";"6,70";"35,9";"";""
"08/08/2019";"1200";"28,3";"82,0";"1002,7";"";"90,0";"0,0";"";"";"21,0";"0,0"
"08/08/2019";"1800";"35,7";"63,0";"999,0";"";"180,0";"8,0";"";"";"";""
"09/08/2019";"0000";"29,0";"70,0";"995,6";"";"0,0";"3,0";"6,30";"35,7";"";""
"09/08/2019";"1200";"27,7";"80,0";"1000,8";"";"0,0";"0,0";"";"";"21,2";"0,0"
"09/08/2019";"1800";"35,1";"63,0";"997,9";"";"90,0";"7,0";"";"";"";""
"10/08/2019";"0000";"27,8";"73,0";"999,9";"";"0,0";"0,0";"";"";"";""
"10/08/2019";"1200";"";"";"";"";"";"";"";"";"";"0,0"
"10/08/2019";"1800";"";"";"";"";"";"";"";"";"";""
"11/08/2019";"0000";"";"";"";"";"";"";"";"";"";""
"11/08/2019";"1200";"";"";"";"";"";"";"";"";"";"0,0"
"11/08/2019";"1800";"";"";"";"";"";"";"";"";"";""
"12/08/2019";"0000";"";"";"";"";"";"";"8,20";"37,0";"";""
"12/08/2019";"1200";"28,5";"86,0";"999,9";"";"90,0";"0,0";"";"";"20,5";"0,0"
"12/08/2019";"1800";"36,3";"61,0";"995,4";"";"90,0";"7,0";"";"";"";""
"13/08/2019";"0000";"29,6";"71,0";"996,9";"";"0,0";"4,0";"6,90";"37,0";"";""
