"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/02/2023";"0000";"25,3";"95,0";"1004,9";"0,0";"0,0";"5,0";"5,20";"30,1";"";""
"01/02/2023";"1200";"27,3";"89,0";"1005,9";"0,0";"0,0";"7,5";"";"";"24,8";"0,0"
"01/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"02/02/2023";"0000";"25,1";"98,0";"1006,3";"0,0";"0,0";"10,0";"0,00";"27,1";"";""
"02/02/2023";"1200";"26,5";"95,0";"1007,4";"0,0";"0,0";"10,0";"";"";"24,6";"2,8"
"02/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"03/02/2023";"0000";"23,5";"96,0";"1007,0";"0,0";"0,0";"7,5";"6,10";"30,3";"";""
"03/02/2023";"1200";"26,9";"93,0";"1007,7";"2,1";"50,0";"7,5";"";"";"23,2";"16,0"
"03/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"04/02/2023";"0000";"25,9";"95,0";"1006,3";"0,0";"0,0";"10,0";"5,30";"30,7";"";""
"04/02/2023";"1200";"27,1";"87,0";"1008,2";"2,1";"50,0";"6,3";"";"";"24,4";"0,3"
"04/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"05/02/2023";"0000";"25,7";"95,0";"1007,3";"1,5";"360,0";"3,8";"";"";"";""
"05/02/2023";"1200";"";"";"";"";"";"";"";"";"";""
"05/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"06/02/2023";"0000";"";"";"";"";"";"";"8,60";"30,1";"";""
"06/02/2023";"1200";"26,7";"90,0";"1006,3";"1,5";"360,0";"7,5";"";"";"24,0";"0,0"
"06/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"07/02/2023";"0000";"25,9";"95,0";"1004,6";"1,5";"360,0";"7,5";"2,00";"28,9";"";""
"07/02/2023";"1200";"28,1";"87,0";"1006,7";"0,0";"0,0";"7,5";"";"";"24,2";"3,8"
"07/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"08/02/2023";"0000";"25,1";"98,0";"1006,4";"0,0";"0,0";"2,5";"0,00";"28,9";"";""
"08/02/2023";"1200";"25,5";"99,0";"1005,8";"0,0";"0,0";"10,0";"";"";"24,8";"14,2"
"08/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"09/02/2023";"0000";"25,3";"99,0";"1004,4";"0,0";"0,0";"10,0";"7,80";"30,9";"";""
"09/02/2023";"1200";"26,9";"91,0";"1005,9";"1,0";"90,0";"7,5";"";"";"24,0";"0,0"
"09/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"10/02/2023";"0000";"25,9";"95,0";"1004,4";"0,0";"0,0";"7,5";"4,60";"30,5";"";""
"10/02/2023";"1200";"28,3";"85,0";"1005,1";"0,0";"0,0";"7,5";"";"";"25,0";"0,0"
"10/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"11/02/2023";"0000";"25,5";"98,0";"1004,3";"0,0";"0,0";"10,0";"7,30";"30,3";"";""
"11/02/2023";"1200";"27,9";"92,0";"1005,6";"0,0";"0,0";"7,5";"";"";"23,8";"48,8"
"11/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"12/02/2023";"0000";"25,5";"98,0";"1004,3";"0,5";"50,0";"0,0";"";"";"";""
"12/02/2023";"1200";"";"";"";"";"";"";"";"";"";""
"12/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"13/02/2023";"0000";"";"";"";"";"";"";"5,60";"31,1";"";""
"13/02/2023";"1200";"27,7";"89,0";"1005,0";"1,5";"50,0";"7,5";"";"";"24,6";"5,2"
"13/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"14/02/2023";"0000";"25,5";"98,0";"1003,6";"0,0";"0,0";"3,8";"4,30";"30,3";"";""
"14/02/2023";"1200";"28,3";"88,0";"1004,2";"2,6";"360,0";"7,5";"";"";"25,4";"41,4"
"14/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"15/02/2023";"0000";"26,5";"89,0";"1004,2";"1,5";"50,0";"3,8";"6,20";"29,3";"";""
"15/02/2023";"1200";"27,1";"90,0";"1004,3";"3,1";"360,0";"7,5";"";"";"26,0";"1,6"
"15/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"16/02/2023";"0000";"25,5";"95,0";"1003,1";"0,0";"0,0";"10,0";"0,00";"28,5";"";""
"16/02/2023";"1200";"23,3";"99,0";"1004,3";"0,0";"0,0";"10,0";"";"";"24,0";"5,6"
"16/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"17/02/2023";"0000";"25,1";"99,0";"1002,9";"0,0";"0,0";"10,0";"0,60";"29,7";"";""
"17/02/2023";"1200";"27,7";"90,0";"1003,2";"0,0";"0,0";"7,5";"";"";"24,0";"10,6"
"17/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"18/02/2023";"0000";"24,7";"96,0";"1003,8";"0,0";"0,0";"10,0";"4,40";"29,7";"";""
"18/02/2023";"1200";"26,3";"95,0";"1004,9";"0,0";"0,0";"7,5";"";"";"23,8";"20,4"
"18/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"19/02/2023";"0000";"24,5";"99,0";"1004,5";"2,1";"90,0";"10,0";"";"";"";""
"19/02/2023";"1200";"";"";"";"";"";"";"";"";"";""
"19/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"20/02/2023";"0000";"";"";"";"";"";"";"2,20";"30,1";"";""
"20/02/2023";"1200";"25,1";"98,0";"1004,8";"0,0";"0,0";"7,5";"";"";"22,0";"33,8"
"20/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"21/02/2023";"0000";"24,5";"98,0";"1003,9";"0,0";"0,0";"7,5";"6,10";"31,1";"";""
"21/02/2023";"1200";"28,3";"85,0";"1004,7";"0,0";"0,0";"6,3";"";"";"23,8";"3,0"
"21/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"22/02/2023";"0000";"25,5";"99,0";"1004,5";"0,0";"0,0";"10,0";"0,00";"27,5";"";""
"22/02/2023";"1200";"26,7";"90,0";"1006,9";"0,0";"0,0";"10,0";"";"";"25,2";"12,2"
"22/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"23/02/2023";"0000";"24,9";"99,0";"1007,0";"0,0";"0,0";"10,0";"0,00";"26,7";"";""
"23/02/2023";"1200";"24,1";"99,0";"1008,4";"1,5";"330,0";"10,0";"";"";"24,0";"68,6"
"23/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"24/02/2023";"0000";"24,7";"98,0";"1005,3";"0,0";"0,0";"7,5";"4,90";"29,7";"";""
"24/02/2023";"1200";"27,3";"91,0";"1007,2";"0,0";"0,0";"7,5";"";"";"23,2";"20,6"
"24/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"25/02/2023";"0000";"25,7";"94,0";"1006,1";"0,0";"0,0";"8,8";"3,20";"29,9";"";""
"25/02/2023";"1200";"26,9";"93,0";"1006,7";"0,0";"0,0";"7,5";"";"";"24,4";"2,6"
"25/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"26/02/2023";"0000";"24,3";"99,0";"1006,5";"0,0";"0,0";"3,8";"";"";"";""
"26/02/2023";"1200";"";"";"";"";"";"";"";"";"";""
"26/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"27/02/2023";"0000";"";"";"";"";"";"";"5,70";"31,3";"";""
"27/02/2023";"1200";"28,1";"78,0";"1007,1";"1,5";"50,0";"7,5";"";"";"24,0";"0,0"
"27/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"28/02/2023";"0000";"26,9";"89,0";"1006,1";"1,5";"50,0";"5,0";"10,30";"31,3";"";""
"28/02/2023";"1200";"28,5";"82,0";"1007,7";"2,6";"50,0";"7,5";"";"";"26,0";"0,0"
"28/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"01/03/2023";"0000";"26,1";"93,0";"1006,5";"1,5";"360,0";"0,0";"6,70";"31,1";"";""
"01/03/2023";"1200";"28,5";"83,0";"1006,6";"1,5";"50,0";"6,3";"";"";"24,4";"0,0"
"01/03/2023";"1800";"";"";"";"";"";"";"";"";"";""
"02/03/2023";"0000";"26,5";"89,0";"1006,1";"1,5";"50,0";"10,0";"2,80";"29,3";"";""
"02/03/2023";"1200";"27,3";"93,0";"1006,3";"1,5";"360,0";"7,5";"";"";"24,8";"1,2"
"02/03/2023";"1800";"";"";"";"";"";"";"";"";"";""
"03/03/2023";"0000";"25,5";"95,0";"1004,5";"0,0";"0,0";"3,8";"1,00";"29,1";"";""
"03/03/2023";"1200";"26,9";"94,0";"1006,3";"1,5";"360,0";"10,0";"";"";"24,8";"11,6"
"03/03/2023";"1800";"";"";"";"";"";"";"";"";"";""
"04/03/2023";"0000";"24,7";"99,0";"1005,2";"0,0";"0,0";"10,0";"1,00";"30,1";"";""
"04/03/2023";"1200";"26,9";"93,0";"1006,1";"0,0";"0,0";"10,0";"";"";"24,4";"31,8"
"04/03/2023";"1800";"";"";"";"";"";"";"";"";"";""
