"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/08/2019";"0000";"";"";"";"";"";"3,0";"8,70";"37,4";"";""
"01/08/2019";"1200";"22,5";"72,0";"994,4";"";"";"3,0";"";"";"17,7";"0,0"
"01/08/2019";"1800";"";"37,0";"992,1";"";"";"0,0";"";"";"";""
"02/08/2019";"0000";"";"64,0";"993,6";"";"";"3,0";"4,10";"35,0";"";""
"02/08/2019";"1200";"25,4";"67,0";"997,4";"";"";"8,0";"";"";"18,8";"0,0"
"02/08/2019";"1800";"29,2";"46,0";"997,9";"";"";"8,0";"";"";"";""
"03/08/2019";"0000";"19,4";"70,0";"1002,8";"";"";"7,0";"8,00";"22,9";"";""
"03/08/2019";"1200";"13,8";"84,0";"1007,0";"";"";"5,0";"";"";"12,0";"0,0"
"03/08/2019";"1800";"21,4";"41,0";"1004,2";"";"";"3,0";"";"";"";""
"04/08/2019";"0000";"16,4";"62,0";"1005,2";"";"";"5,0";"9,40";"25,3";"";""
"04/08/2019";"1200";"13,8";"67,0";"1005,4";"";"";"0,0";"";"";"11,7";"0,0"
"04/08/2019";"1800";"24,6";"36,0";"1002,6";"";"";"0,0";"";"";"";""
"05/08/2019";"0000";"20,2";"61,0";"1004,4";"";"";"0,0";"9,60";"30,2";"";""
"05/08/2019";"1200";"16,4";"57,0";"1002,5";"";"";"0,0";"";"";"11,0";"0,0"
"05/08/2019";"1800";"28,6";"47,0";"999,6";"";"";"0,0";"";"";"";""
"06/08/2019";"0000";"24,1";"72,0";"1001,2";"";"";"3,0";"8,50";"36,0";"";""
"06/08/2019";"1200";"19,3";"81,0";"1000,5";"";"";"2,0";"";"";"15,9";"0,0"
"06/08/2019";"1800";"34,1";"45,0";"996,9";"";"";"6,0";"";"";"";""
"07/08/2019";"0000";"28,0";"66,0";"999,5";"";"";"5,0";"9,10";"37,0";"";""
"07/08/2019";"1200";"24,2";"75,0";"999,9";"";"";"0,0";"";"";"19,0";"0,0"
"07/08/2019";"1800";"35,2";"47,0";"998,1";"";"";"0,0";"";"";"";""
"08/08/2019";"0000";"27,4";"70,0";"997,9";"";"";"0,0";"9,00";"37,3";"";""
"08/08/2019";"1200";"26,1";"68,0";"1000,8";"";"";"0,0";"";"";"20,9";"0,0"
"08/08/2019";"1800";"36,1";"38,0";"998,1";"";"";"0,0";"";"";"";""
"09/08/2019";"0000";"25,6";"72,0";"999,1";"";"";"0,0";"9,40";"36,3";"";""
"09/08/2019";"1200";"23,5";"65,0";"999,5";"";"";"0,0";"";"";"16,2";"0,0"
"09/08/2019";"1800";"35,3";"41,0";"996,4";"";"";"0,0";"";"";"";""
"10/08/2019";"0000";"27,1";"67,0";"999,1";"";"";"0,0";"8,80";"33,2";"";""
"10/08/2019";"1200";"";"68,0";"1000,2";"";"";"0,0";"";"";"17,3";"0,0"
"10/08/2019";"1800";"32,4";"46,0";"999,5";"";"";"0,0";"";"";"";""
"11/08/2019";"0000";"26,7";"66,0";"999,9";"";"";"0,0";"9,30";"37,2";"";""
"11/08/2019";"1200";"";"80,0";"999,6";"";"";"0,0";"";"";"17,3";"0,0"
"11/08/2019";"1800";"36,5";"40,0";"996,8";"";"";"0,0";"";"";"";""
"12/08/2019";"0000";"27,2";"70,0";"997,2";"";"";"0,0";"8,60";"38,0";"";""
"12/08/2019";"1200";"30,4";"58,0";"997,6";"";"";"0,0";"";"";"21,0";"0,0"
"12/08/2019";"1800";"36,0";"43,0";"995,2";"";"";"5,0";"";"";"";""
"13/08/2019";"0000";"28,4";"73,0";"995,6";"";"";"4,0";"7,10";"34,2";"";""
"13/08/2019";"1200";"";"73,0";"997,2";"";"";"7,0";"";"";"20,0";"0,0"
"13/08/2019";"1800";"33,3";"49,0";"997,5";"";"";"4,0";"";"";"";""
"14/08/2019";"0000";"25,3";"69,0";"999,6";"";"";"6,0";"8,20";"28,2";"";""
"14/08/2019";"1200";"18,2";"54,0";"1003,4";"";"";"0,0";"";"";"15,8";"0,0"
"14/08/2019";"1800";"27,1";"38,0";"1000,1";"";"";"5,0";"";"";"";""
"15/08/2019";"0000";"22,3";"62,0";"999,9";"";"";"0,0";"9,40";"35,7";"";""
"15/08/2019";"1200";"20,2";"57,0";"1000,9";"";"";"0,0";"";"";"17,1";"0,0"
"15/08/2019";"1800";"33,2";"73,0";"997,1";"";"";"0,0";"";"";"";""
"16/08/2019";"0000";"26,1";"74,0";"996,4";"";"";"0,0";"8,10";"38,0";"";""
"16/08/2019";"1200";"";"67,0";"998,4";"";"";"3,0";"";"";"17,9";"0,0"
"16/08/2019";"1800";"36,3";"42,0";"995,5";"";"";"6,0";"";"";"";""
"17/08/2019";"0000";"28,9";"63,0";"994,8";"";"";"6,0";"9,80";"38,7";"";""
"17/08/2019";"1200";"24,9";"67,0";"995,8";"";"";"0,0";"";"";"20,4";"0,0"
"17/08/2019";"1800";"37,6";"38,0";"993,0";"";"";"3,0";"";"";"";""
"18/08/2019";"0000";"29,0";"60,0";"992,7";"";"";"2,0";"9,20";"38,1";"";""
"18/08/2019";"1200";"";"65,0";"997,2";"";"";"2,0";"";"";"22,7";"0,0"
"18/08/2019";"1800";"36,8";"43,0";"996,3";"";"";"4,0";"";"";"";""
"19/08/2019";"0000";"30,7";"60,0";"996,8";"";"";"2,0";"0,00";"30,4";"";""
"19/08/2019";"1200";"26,4";"75,0";"998,4";"";"";"10,0";"";"";"16,0";"0,0"
"19/08/2019";"1800";"27,1";"76,0";"996,4";"";"";"10,0";"";"";"";""
"20/08/2019";"0000";"25,4";"84,0";"997,8";"";"";"6,0";"2,50";"32,3";"";""
"20/08/2019";"1200";"";"73,0";"999,9";"";"";"7,0";"";"";"21,0";"0,0"
"20/08/2019";"1800";"32,0";"50,0";"997,9";"";"";"0,0";"";"";"";""
"21/08/2019";"0000";"27,6";"68,0";"999,6";"";"";"0,0";"1,70";"36,5";"";""
"21/08/2019";"1200";"23,5";"72,0";"999,9";"";"";"4,0";"";"";"20,2";"0,0"
"21/08/2019";"1800";"35,1";"47,0";"996,7";"";"";"0,0";"";"";"";""
"22/08/2019";"0000";"29,8";"66,0";"999,1";"";"";"3,0";"4,10";"38,6";"";""
