"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/02/2022";"0000";"24,5";"94,0";"";"0,0";"0,0";"5,0";"";"27,8";"";""
"01/02/2022";"1200";"24,6";"93,0";"";"";"";"10,0";"";"";"22,8";"1,4"
"01/02/2022";"1800";"26,0";"94,0";"";"";"";"10,0";"";"";"";""
"02/02/2022";"0000";"24,2";"96,0";"";"";"";"7,5";"";"31,0";"";""
"02/02/2022";"1200";"25,8";"92,0";"";"0,0";"0,0";"7,5";"";"";"22,6";"12,0"
"02/02/2022";"1800";"26,4";"95,0";"";"";"";"10,0";"";"";"";""
"03/02/2022";"0000";"26,4";"95,0";"";"";"";"10,0";"";"30,7";"";""
"03/02/2022";"1200";"23,7";"96,0";"";"";"";"10,0";"";"";"23,2";"17,4"
"03/02/2022";"1800";"28,8";"86,0";"";"";"";"10,0";"";"";"";""
"04/02/2022";"0000";"25,4";"94,0";"";"";"";"11,3";"";"32,0";"";""
"04/02/2022";"1200";"25,0";"97,0";"";"0,0";"0,0";"7,5";"";"";"22,7";"5,5"
"04/02/2022";"1800";"24,8";"97,0";"";"";"";"10,0";"";"";"";""
"05/02/2022";"0000";"25,0";"97,0";"";"";"";"11,3";"";"34,8";"";""
"05/02/2022";"1200";"26,4";"92,0";"";"0,0";"0,0";"6,3";"";"";"21,1";"13,2"
"05/02/2022";"1800";"32,0";"73,0";"";"";"";"7,5";"";"";"";""
"06/02/2022";"0000";"24,8";"94,0";"";"";"";"11,3";"";"32,5";"";""
"06/02/2022";"1200";"24,4";"95,0";"";"";"";"7,5";"";"";"21,9";"4,6"
"06/02/2022";"1800";"29,2";"86,0";"";"";"";"10,0";"";"";"";""
"07/02/2022";"0000";"26,2";"94,0";"";"";"";"11,3";"";"33,2";"";""
"07/02/2022";"1200";"23,2";"98,0";"";"";"";"10,0";"";"";"21,7";"75,2"
"07/02/2022";"1800";"31,0";"83,0";"";"0,0";"0,0";"7,5";"";"";"";""
"08/02/2022";"0000";"24,8";"96,0";"";"";"";"10,0";"";"30,6";"";""
"08/02/2022";"1200";"23,2";"98,0";"";"";"";"11,3";"";"";"22,7";"76,2"
"08/02/2022";"1800";"27,4";"89,0";"";"";"";"10,0";"";"";"";""
"09/02/2022";"0000";"25,4";"97,0";"";"";"";"5,0";"";"26,2";"";""
"09/02/2022";"1200";"24,2";"98,0";"";"";"";"10,0";"";"";"22,3";"5,5"
"09/02/2022";"1800";"24,2";"95,0";"";"";"";"10,0";"";"";"";""
"10/02/2022";"0000";"23,2";"96,0";"";"";"";"5,0";"";"33,5";"";""
"10/02/2022";"1200";"23,6";"95,0";"";"";"";"10,0";"";"";"22,1";"34,7"
"10/02/2022";"1800";"30,6";"80,0";"";"";"";"7,5";"";"";"";""
"11/02/2022";"0000";"26,0";"89,0";"";"";"";"7,5";"";"32,5";"";""
"11/02/2022";"1200";"25,0";"95,0";"";"";"";"10,0";"";"";"22,9";"9,0"
"11/02/2022";"1800";"31,2";"79,0";"";"0,0";"0,0";"7,5";"";"";"";""
"12/02/2022";"0000";"24,0";"95,0";"";"";"";"10,0";"";"31,8";"";""
"12/02/2022";"1200";"23,8";"99,0";"";"";"";"10,0";"";"";"22,5";"12,9"
"12/02/2022";"1800";"31,0";"81,0";"";"";"";"10,0";"";"";"";""
"13/02/2022";"0000";"24,8";"87,0";"";"";"";"11,3";"";"27,5";"";""
"13/02/2022";"1200";"23,2";"98,0";"";"";"";"10,0";"";"";"21,8";"19,4"
"13/02/2022";"1800";"25,0";"98,0";"";"";"";"10,0";"";"";"";""
"14/02/2022";"0000";"24,6";"97,0";"";"";"";"11,3";"";"32,7";"";""
"14/02/2022";"1200";"24,4";"97,0";"";"4,1";"20,0";"10,0";"";"";"22,7";"19,2"
"14/02/2022";"1800";"31,2";"79,0";"";"0,0";"0,0";"7,5";"";"";"";""
"15/02/2022";"0000";"27,0";"86,0";"";"";"";"10,0";"";"33,2";"";""
"15/02/2022";"1200";"24,8";"87,0";"";"";"";"7,5";"";"";"23,4";"4,7"
"15/02/2022";"1800";"29,4";"88,0";"";"";"";"10,0";"";"";"";""
"16/02/2022";"0000";"26,0";"92,0";"";"0,0";"0,0";"11,3";"";"34,6";"";""
"16/02/2022";"1200";"25,1";"94,0";"";"0,0";"0,0";"6,3";"";"";"23,7";"0,0"
"16/02/2022";"1800";"29,9";"85,0";"";"0,0";"0,0";"5,0";"";"";"";""
"17/02/2022";"0000";"27,4";"92,0";"";"0,0";"0,0";"5,0";"";"34,4";"";""
"17/02/2022";"1200";"22,9";"99,0";"";"0,0";"0,0";"10,0";"";"";"22,0";"158,0"
"17/02/2022";"1800";"31,9";"75,0";"";"0,0";"0,0";"5,0";"";"";"";""
"18/02/2022";"0000";"27,9";"90,0";"";"0,0";"0,0";"5,0";"";"30,6";"";""
"18/02/2022";"1200";"24,6";"82,0";"";"0,0";"0,0";"6,3";"";"";"22,6";"18,4"
"18/02/2022";"1800";"26,8";"91,0";"";"0,0";"0,0";"5,0";"";"";"";""
"19/02/2022";"0000";"24,8";"95,0";"";"0,0";"0,0";"5,0";"";"29,6";"";""
"19/02/2022";"1200";"24,1";"97,0";"";"0,0";"0,0";"10,0";"";"";"23,2";"12,8"
"19/02/2022";"1800";"27,9";"88,0";"";"0,0";"0,0";"6,3";"";"";"";""
"20/02/2022";"0000";"24,8";"96,0";"";"0,0";"0,0";"5,0";"";"29,2";"";""
"20/02/2022";"1200";"";"98,0";"";"0,0";"0,0";"6,3";"";"";"22,8";"41,7"
