"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/08/2019";"0000";"26,7";"27,7";"25,9";"76,0";"80,0";"70,0";"22,2";"22,3";"21,6";"990,0";"990,0";"989,1";"0,4";"141,0";"2,0";"";"0,0"
"01/08/2019";"0100";"26,3";"26,7";"25,9";"78,0";"82,0";"76,0";"22,1";"22,6";"22,0";"990,4";"990,4";"990,0";"0,3";"121,0";"1,0";"";"0,0"
"01/08/2019";"0200";"25,4";"26,3";"25,4";"81,0";"83,0";"78,0";"22,0";"22,6";"21,9";"990,8";"990,9";"990,4";"0,4";"89,0";"1,0";"";"0,0"
"01/08/2019";"0300";"25,3";"25,4";"24,5";"82,0";"88,0";"81,0";"22,0";"22,5";"21,8";"991,0";"991,0";"990,8";"0,3";"87,0";"1,3";"";"0,0"
"01/08/2019";"0400";"25,2";"25,5";"25,1";"82,0";"83,0";"81,0";"21,9";"22,2";"21,9";"990,4";"991,0";"990,4";"0,6";"111,0";"1,3";"";"0,0"
"01/08/2019";"0500";"24,3";"25,3";"24,3";"85,0";"85,0";"81,0";"21,7";"21,9";"21,7";"989,8";"990,4";"989,8";"0,2";"57,0";"1,3";"";"0,0"
"01/08/2019";"0600";"23,6";"24,4";"23,4";"89,0";"90,0";"85,0";"21,6";"22,0";"21,4";"989,4";"989,8";"989,4";"0,2";"70,0";"0,7";"";"0,0"
"01/08/2019";"0700";"23,3";"23,7";"22,9";"90,0";"93,0";"88,0";"21,5";"22,0";"21,3";"989,0";"989,4";"989,0";"0,1";"346,0";"0,8";"";"0,0"
"01/08/2019";"0800";"23,8";"23,9";"23,3";"87,0";"90,0";"86,0";"21,5";"21,6";"21,4";"989,0";"989,0";"988,9";"0,6";"99,0";"1,4";"";"0,0"
"01/08/2019";"0900";"23,0";"23,8";"23,0";"90,0";"90,0";"87,0";"21,3";"21,5";"21,3";"989,5";"989,5";"988,9";"0,2";"23,0";"1,8";"";"0,0"
"01/08/2019";"1000";"23,0";"23,0";"22,8";"92,0";"92,0";"90,0";"21,6";"21,6";"21,3";"989,9";"989,9";"989,5";"0,5";"63,0";"2,0";"20,40";"0,0"
"01/08/2019";"1100";"24,0";"24,4";"23,0";"92,0";"93,0";"89,0";"22,7";"22,7";"21,6";"990,6";"990,6";"989,9";"0,8";"43,0";"2,2";"351,50";"0,0"
"01/08/2019";"1200";"24,7";"24,7";"23,9";"93,0";"94,0";"92,0";"23,4";"23,5";"22,6";"991,2";"991,2";"990,6";"1,4";"36,0";"4,5";"365,60";"0,0"
"01/08/2019";"1300";"26,4";"26,4";"24,6";"87,0";"93,0";"87,0";"24,0";"24,0";"23,3";"991,5";"991,5";"991,2";"1,4";"51,0";"3,8";"656,90";"0,0"
"01/08/2019";"1400";"28,4";"28,4";"26,4";"80,0";"88,0";"77,0";"24,5";"24,8";"23,2";"991,5";"991,6";"991,5";"1,5";"71,0";"5,2";"1655,50";"0,0"
"01/08/2019";"1500";"28,1";"29,1";"27,6";"73,0";"80,0";"69,0";"22,9";"24,0";"22,6";"991,2";"991,5";"991,2";"1,6";"68,0";"5,9";"1867,60";"0,0"
