"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/08/2022";"0000";"24,5";"96,0";"1011,8";"0,0";"0,0";"10,0";"7,60";"33,5";"";""
"01/08/2022";"1200";"25,4";"92,0";"1012,2";"1,5";"110,0";"6,3";"";"";"23,6";"2,4"
"01/08/2022";"1800";"32,6";"61,0";"1008,7";"2,1";"110,0";"5,0";"";"";"";""
"02/08/2022";"0000";"25,1";"95,0";"1010,2";"0,0";"0,0";"10,0";"9,60";"33,2";"";""
"02/08/2022";"1200";"28,0";"85,0";"1010,4";"2,6";"50,0";"7,5";"";"";"22,6";"4,2"
"02/08/2022";"1800";"32,6";"59,0";"1007,9";"3,1";"90,0";"5,0";"";"";"";""
"03/08/2022";"0000";"27,6";"82,0";"1009,0";"1,5";"50,0";"7,5";"9,30";"33,9";"";""
"03/08/2022";"1200";"28,4";"76,0";"1010,5";"2,1";"50,0";"1,3";"";"";"23,0";"0,0"
"03/08/2022";"1800";"33,0";"52,0";"1008,0";"2,1";"50,0";"3,8";"";"";"";""
"04/08/2022";"0000";"26,1";"93,0";"1009,4";"1,5";"360,0";"5,0";"9,30";"34,0";"";""
"04/08/2022";"1200";"27,7";"84,0";"1011,0";"2,6";"70,0";"3,8";"";"";"22,8";"1,0"
"04/08/2022";"1800";"33,4";"53,0";"1007,5";"2,1";"90,0";"6,3";"";"";"";""
"05/08/2022";"0000";"24,2";"95,0";"1010,0";"0,0";"0,0";"7,5";"10,20";"33,5";"";""
"05/08/2022";"1200";"27,8";"81,0";"1011,5";"2,1";"50,0";"5,0";"";"";"22,0";"4,6"
"05/08/2022";"1800";"32,8";"59,0";"1008,1";"1,5";"90,0";"2,5";"";"";"";""
"06/08/2022";"0000";"27,0";"90,0";"1009,1";"1,0";"50,0";"7,5";"9,80";"33,8";"";""
"06/08/2022";"1200";"27,2";"82,0";"1010,8";"2,1";"70,0";"2,5";"";"";"22,6";"0,0"
"06/08/2022";"1800";"33,3";"53,0";"1007,9";"1,5";"50,0";"7,5";"";"";"";""
"07/08/2022";"0000";"27,3";"81,0";"1010,2";"2,6";"50,0";"8,8";"9,90";"34,1";"";""
"07/08/2022";"1200";"29,1";"74,0";"1012,0";"1,0";"90,0";"2,5";"";"";"21,9";"0,0"
"07/08/2022";"1800";"33,4";"49,0";"1008,4";"1,5";"90,0";"3,8";"";"";"";""
"08/08/2022";"0000";"25,4";"94,0";"1010,6";"0,0";"0,0";"5,0";"10,10";"34,1";"";""
"08/08/2022";"1200";"27,8";"84,0";"1001,2";"1,0";"50,0";"1,3";"";"";"22,3";"6,2"
"08/08/2022";"1800";"33,5";"50,0";"1008,2";"2,6";"70,0";"3,8";"";"";"";""
"09/08/2022";"0000";"27,7";"86,0";"1010,2";"1,0";"360,0";"5,0";"9,80";"34,3";"";""
"09/08/2022";"1200";"28,4";"79,0";"1012,5";"2,1";"50,0";"2,5";"";"";"23,0";"0,0"
"09/08/2022";"1800";"33,5";"50,0";"1009,8";"2,1";"50,0";"2,5";"";"";"";""
"10/08/2022";"0000";"27,8";"83,0";"1012,2";"0,0";"0,0";"2,5";"8,20";"34,9";"";""
"10/08/2022";"1200";"28,5";"79,0";"1013,4";"2,1";"50,0";"1,3";"";"";"23,3";"0,0"
"10/08/2022";"1800";"34,3";"49,0";"1010,0";"1,0";"70,0";"7,5";"";"";"";""
"11/08/2022";"0000";"25,2";"84,0";"1011,9";"1,5";"50,0";"5,0";"7,60";"34,8";"";""
"11/08/2022";"1200";"29,2";"77,0";"1012,4";"1,5";"50,0";"2,5";"";"";"22,0";"0,0"
"11/08/2022";"1800";"32,8";"67,0";"1009,4";"2,1";"360,0";"5,0";"";"";"";""
"12/08/2022";"0000";"26,0";"90,0";"1011,2";"0,0";"0,0";"5,0";"9,90";"35,6";"";""
"12/08/2022";"1200";"27,8";"81,0";"1013,6";"2,1";"50,0";"3,8";"";"";"23,1";"0,0"
"12/08/2022";"1800";"34,7";"48,0";"1010,4";"2,6";"90,0";"7,5";"";"";"";""
"13/08/2022";"0000";"27,2";"89,0";"1012,8";"2,1";"320,0";"0,0";"9,10";"34,7";"";""
"13/08/2022";"1200";"28,8";"74,0";"1013,9";"2,1";"50,0";"2,5";"";"";"23,0";"0,0"
"13/08/2022";"1800";"33,0";"52,0";"1011,4";"1,5";"50,0";"5,0";"";"";"";""
"14/08/2022";"0000";"27,3";"88,0";"1012,1";"2,1";"50,0";"2,5";"9,60";"34,7";"";""
"14/08/2022";"1200";"28,6";"77,0";"1012,8";"2,1";"50,0";"1,3";"";"";"23,4";"0,0"
"14/08/2022";"1800";"34,1";"49,0";"1009,9";"2,6";"90,0";"5,0";"";"";"";""
"15/08/2022";"0000";"24,8";"97,0";"1012,0";"0,0";"0,0";"10,0";"9,20";"34,6";"";""
"15/08/2022";"1200";"28,2";"82,0";"1011,4";"2,1";"50,0";"1,3";"";"";"21,9";"29,0"
"15/08/2022";"1800";"34,0";"51,0";"1008,3";"2,1";"90,0";"3,8";"";"";"";""
"16/08/2022";"0000";"26,8";"84,0";"1010,7";"0,0";"0,0";"3,8";"9,20";"35,1";"";""
"16/08/2022";"1200";"28,4";"79,0";"1011,2";"1,0";"20,0";"0,0";"";"";"23,3";"0,0"
"16/08/2022";"1800";"34,4";"46,0";"1008,2";"2,1";"90,0";"6,3";"";"";"";""
"17/08/2022";"0000";"27,2";"84,0";"1010,6";"0,5";"90,0";"0,0";"9,50";"35,4";"";""
"17/08/2022";"1200";"28,4";"80,0";"1010,3";"1,5";"90,0";"6,3";"";"";"22,3";"0,0"
"17/08/2022";"1800";"34,2";"48,0";"1007,8";"2,1";"90,0";"5,0";"";"";"";""
"18/08/2022";"0000";"27,7";"88,0";"1009,7";"0,5";"360,0";"1,3";"6,20";"35,1";"";""
"18/08/2022";"1200";"27,0";"85,0";"1010,6";"2,1";"50,0";"7,5";"";"";"23,4";"0,0"
"18/08/2022";"1800";"33,1";"66,0";"1008,4";"2,1";"320,0";"7,5";"";"";"";""
"19/08/2022";"0000";"25,4";"90,0";"1011,7";"0,5";"50,0";"7,5";"7,80";"35,6";"";""
"19/08/2022";"1200";"28,6";"78,0";"1012,3";"2,1";"50,0";"0,0";"";"";"22,4";"0,0"
"19/08/2022";"1800";"34,2";"56,0";"1009,0";"2,1";"320,0";"6,3";"";"";"";""
