"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/02/2023";"0000";"24,4";"24,8";"24,4";"94,0";"94,0";"92,0";"23,3";"23,6";"23,1";"1009,3";"1009,4";"1008,2";"0,5";"127,0";"4,0";"";"0,0"
"01/02/2023";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/02/2023";"0200";"23,6";"23,9";"23,5";"97,0";"97,0";"96,0";"23,0";"23,2";"22,9";"1009,8";"1009,8";"1009,3";"0,1";"99,0";"2,1";"";"0,2"
"01/02/2023";"0300";"23,5";"23,6";"23,3";"97,0";"97,0";"96,0";"23,0";"23,0";"22,7";"1010,2";"1010,2";"1009,7";"0,0";"124,0";"1,6";"";"0,0"
"01/02/2023";"0400";"23,4";"23,6";"23,4";"97,0";"97,0";"97,0";"23,0";"23,0";"22,8";"1008,7";"1010,2";"1008,7";"0,0";"90,0";"0,0";"";"0,0"
"01/02/2023";"0500";"23,4";"23,5";"23,4";"97,0";"97,0";"97,0";"22,9";"23,1";"22,9";"1008,4";"1008,7";"1008,3";"0,0";"27,0";"1,3";"";"0,0"
"01/02/2023";"0600";"23,4";"23,6";"23,4";"97,0";"97,0";"97,0";"23,0";"23,1";"22,8";"1008,1";"1008,6";"1008,1";"0,0";"142,0";"1,3";"";"0,0"
"01/02/2023";"0700";"23,4";"23,4";"23,3";"97,0";"98,0";"97,0";"22,9";"23,0";"22,9";"1007,8";"1008,2";"1007,7";"0,0";"359,0";"1,8";"";"0,0"
"01/02/2023";"0800";"23,6";"23,6";"23,4";"97,0";"97,0";"97,0";"23,1";"23,1";"22,9";"1008,0";"1008,0";"1007,7";"0,2";"71,0";"2,3";"";"0,0"
"01/02/2023";"0900";"23,5";"23,7";"23,5";"98,0";"98,0";"97,0";"23,1";"23,2";"23,1";"1008,6";"1008,6";"1008,0";"0,0";"147,0";"2,4";"";"1,2"
"01/02/2023";"1000";"23,0";"23,5";"23,0";"96,0";"98,0";"96,0";"22,2";"23,1";"22,2";"1009,2";"1009,2";"1008,6";"1,0";"124,0";"4,7";"26,60";"1,2"
"01/02/2023";"1100";"23,6";"23,6";"22,9";"95,0";"96,0";"95,0";"22,7";"22,9";"22,2";"1010,1";"1010,1";"1009,1";"0,9";"124,0";"3,4";"270,60";"0,0"
"01/02/2023";"1200";"24,9";"25,0";"23,6";"88,0";"95,0";"88,0";"22,8";"23,5";"22,6";"1011,3";"1011,3";"1010,1";"1,5";"71,0";"4,9";"660,20";"0,0"
"01/02/2023";"1300";"26,0";"26,0";"24,8";"82,0";"89,0";"81,0";"22,7";"23,2";"22,0";"1011,3";"1011,4";"1011,3";"0,2";"80,0";"4,9";"740,50";"0,0"
"01/02/2023";"1400";"25,6";"26,1";"25,3";"87,0";"87,0";"78,0";"23,2";"23,2";"21,8";"1011,3";"1011,5";"1011,3";"0,8";"336,0";"4,4";"660,50";"0,0"
"01/02/2023";"1500";"26,9";"27,1";"25,3";"80,0";"87,0";"79,0";"23,3";"23,4";"22,3";"1010,7";"1011,4";"1010,7";"1,2";"89,0";"3,8";"1116,10";"0,0"
"01/02/2023";"1600";"27,0";"27,2";"26,4";"79,0";"82,0";"76,0";"23,0";"23,4";"22,5";"1009,8";"1010,7";"1009,8";"0,7";"118,0";"4,8";"1082,30";"0,0"
"01/02/2023";"1700";"27,0";"27,3";"26,5";"77,0";"83,0";"77,0";"22,7";"23,6";"22,6";"1008,9";"1009,8";"1008,9";"1,1";"134,0";"3,6";"1188,70";"0,0"
"01/02/2023";"1800";"27,2";"27,6";"27,0";"79,0";"82,0";"76,0";"23,3";"24,1";"22,9";"1007,9";"1008,9";"1007,9";"1,2";"113,0";"3,1";"1071,10";"0,0"
"01/02/2023";"1900";"28,5";"29,1";"27,2";"75,0";"80,0";"70,0";"23,6";"23,9";"22,6";"1007,3";"1007,9";"1007,3";"0,5";"354,0";"3,1";"1114,40";"0,0"
"01/02/2023";"2000";"28,0";"29,3";"27,9";"76,0";"76,0";"71,0";"23,4";"24,2";"23,0";"1007,3";"1007,3";"1007,1";"0,6";"19,0";"4,1";"1059,40";"0,0"
"01/02/2023";"2100";"26,9";"28,0";"26,9";"79,0";"80,0";"75,0";"23,1";"23,4";"22,8";"1007,4";"1007,5";"1007,3";"0,8";"360,0";"4,4";"279,30";"0,0"
"01/02/2023";"2200";"25,8";"26,9";"25,8";"86,0";"86,0";"79,0";"23,3";"23,6";"23,1";"1008,4";"1008,4";"1007,4";"0,4";"339,0";"3,4";"28,40";"0,0"
"01/02/2023";"2300";"25,6";"25,9";"25,6";"88,0";"88,0";"86,0";"23,5";"23,5";"23,3";"1009,4";"1009,4";"1008,4";"0,1";"29,0";"2,5";"";"0,0"
"02/02/2023";"0000";"25,7";"25,8";"25,6";"87,0";"88,0";"86,0";"23,4";"23,5";"23,4";"1010,3";"1010,3";"1009,4";"0,5";"26,0";"2,8";"";"0,0"
"02/02/2023";"0100";"25,3";"25,7";"25,3";"88,0";"88,0";"87,0";"23,1";"23,5";"23,1";"1010,5";"1010,5";"1010,3";"0,1";"19,0";"3,6";"";"0,0"
"02/02/2023";"0200";"24,8";"25,3";"24,8";"93,0";"93,0";"88,0";"23,7";"23,7";"23,1";"1010,7";"1010,8";"1010,5";"0,0";"188,0";"2,1";"";"0,0"
"02/02/2023";"0300";"24,4";"24,8";"24,4";"96,0";"96,0";"93,0";"23,7";"23,7";"23,6";"1010,6";"1010,8";"1010,6";"0,0";"141,0";"1,0";"";"0,0"
"02/02/2023";"0400";"24,1";"24,4";"24,1";"96,0";"96,0";"96,0";"23,5";"23,7";"23,4";"1009,9";"1010,7";"1009,9";"0,0";"158,0";"1,0";"";"0,0"
"02/02/2023";"0500";"23,6";"24,1";"23,6";"97,0";"97,0";"96,0";"23,1";"23,4";"23,1";"1009,3";"1010,0";"1009,3";"0,0";"131,0";"0,0";"";"0,0"
