"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/02/2023";"0000";"28,9";"63,0";"";"1,0";"360,0";"5,0";"";"35,5";"";""
"01/02/2023";"1200";"";"";"";"";"";"";"";"";"";""
"01/02/2023";"1800";"31,2";"56,0";"";"1,0";"140,0";"10,0";"";"";"";""
"02/02/2023";"0000";"28,1";"51,0";"";"0,0";"0,0";"10,0";"";"36,6";"";""
"02/02/2023";"1200";"27,1";"65,0";"";"1,0";"360,0";"2,5";"";"";"23,7";"0,0"
"02/02/2023";"1800";"30,0";"59,0";"";"2,1";"90,0";"7,5";"";"";"";""
"03/02/2023";"0000";"28,8";"64,0";"";"0,0";"0,0";"0,0";"";"36,6";"";""
"03/02/2023";"1200";"26,5";"73,0";"";"1,0";"90,0";"6,3";"";"";"23,6";"0,0"
"03/02/2023";"1800";"32,5";"55,0";"";"0,0";"0,0";"10,0";"";"";"";""
"04/02/2023";"0000";"29,1";"68,0";"";"0,0";"0,0";"0,0";"";"34,3";"";""
"04/02/2023";"1200";"25,6";"78,0";"";"1,0";"360,0";"10,0";"";"";"";"0,0"
"04/02/2023";"1800";"30,0";"67,0";"";"1,0";"50,0";"10,0";"";"";"";""
"05/02/2023";"0000";"26,7";"86,0";"";"0,0";"";"6,3";"";"31,0";"";""
"05/02/2023";"1200";"23,7";"98,0";"";"0,0";"0,0";"10,0";"";"";"23,0";""
"05/02/2023";"1800";"27,7";"72,0";"";"1,0";"90,0";"10,0";"";"";"";""
"06/02/2023";"0000";"26,5";"86,0";"";"2,1";"360,0";"7,5";"";"34,6";"";""
"06/02/2023";"1200";"";"";"";"2,1";"50,0";"10,0";"";"";"23,3";"0,0"
"06/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"07/02/2023";"0000";"28,1";"66,0";"";"1,0";"90,0";"6,3";"";"34,6";"";""
"07/02/2023";"1200";"24,3";"90,0";"";"1,0";"50,0";"7,5";"";"";"22,3";"0,0"
"07/02/2023";"1800";"32,7";"75,0";"";"2,1";"320,0";"5,0";"";"";"";""
"08/02/2023";"0000";"27,8";"75,0";"";"0,0";"0,0";"7,5";"";"36,6";"";""
"08/02/2023";"1200";"24,7";"83,0";"";"1,0";"90,0";"6,3";"";"";"22,7";"0,0"
"08/02/2023";"1800";"34,4";"48,0";"";"1,0";"50,0";"8,8";"";"";"";""
"09/02/2023";"0000";"24,9";"88,0";"";"0,0";"0,0";"5,0";"";"35,1";"";""
"09/02/2023";"1200";"25,5";"79,0";"";"1,0";"50,0";"2,5";"";"";"24,3";"0,0"
"09/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"10/02/2023";"0000";"28,1";"70,0";"";"1,0";"360,0";"7,5";"";"";"";""
"10/02/2023";"1200";"24,9";"82,0";"";"1,0";"320,0";"10,0";"";"";"23,4";"0,0"
"10/02/2023";"1800";"31,2";"57,0";"";"1,0";"50,0";"10,0";"";"";"";""
"11/02/2023";"0000";"22,7";"99,0";"";"0,0";"0,0";"0,0";"";"36,1";"";""
"11/02/2023";"1200";"25,1";"79,0";"";"1,0";"50,0";"6,3";"";"";"23,1";"0,0"
"11/02/2023";"1800";"33,6";"47,0";"";"2,1";"360,0";"7,5";"";"";"";""
"12/02/2023";"0000";"27,9";"72,0";"";"0,0";"0,0";"0,0";"";"36,5";"";""
"12/02/2023";"1200";"25,9";"72,0";"";"2,1";"320,0";"7,5";"";"";"24,1";"0,0"
"12/02/2023";"1800";"";"31,0";"";"1,0";"360,0";"10,0";"";"";"";""
"13/02/2023";"0000";"21,7";"";"";"1,0";"50,0";"10,0";"";"33,6";"";""
"13/02/2023";"1200";"25,5";"80,0";"";"2,1";"50,0";"10,0";"";"";"24,1";"0,0"
"13/02/2023";"1800";"29,7";"64,0";"";"2,1";"50,0";"10,0";"";"";"";""
"14/02/2023";"0000";"28,5";"66,0";"";"1,0";"50,0";"2,5";"";"33,0";"";""
"14/02/2023";"1200";"23,9";"86,0";"";"1,0";"140,0";"10,0";"";"";"23,1";"2,4"
"14/02/2023";"1800";"29,3";"62,0";"";"1,0";"140,0";"8,8";"";"";"";""
"15/02/2023";"0000";"27,5";"73,0";"";"1,0";"140,0";"6,3";"";"34,1";"";""
"15/02/2023";"1200";"23,5";"98,0";"";"2,1";"360,0";"8,8";"";"";"22,3";"33,8"
"15/02/2023";"1800";"29,9";"67,0";"";"1,0";"90,0";"10,0";"";"";"";""
"16/02/2023";"0000";"27,1";"82,0";"";"1,0";"90,0";"0,0";"";"33,6";"";""
"16/02/2023";"1200";"25,1";"89,0";"";"2,1";"50,0";"10,0";"";"";"24,1";"0,0"
"16/02/2023";"1800";"31,0";"59,0";"";"2,1";"90,0";"10,0";"";"";"";""
"17/02/2023";"0000";"28,3";"72,0";"";"1,0";"90,0";"0,0";"";"34,1";"";""
"17/02/2023";"1200";"24,9";"85,0";"";"1,0";"140,0";"10,0";"";"";"23,1";"0,0"
"17/02/2023";"1800";"31,6";"56,0";"";"1,0";"90,0";"10,0";"";"";"";""
"18/02/2023";"0000";"27,1";"78,0";"";"1,0";"90,0";"0,0";"";"34,6";"";""
"18/02/2023";"1200";"27,1";"67,0";"";"2,1";"50,0";"3,8";"";"";"23,9";"0,0"
"18/02/2023";"1800";"31,8";"60,0";"";"2,1";"90,0";"10,0";"";"";"";""
"19/02/2023";"0000";"27,9";"73,0";"";"1,0";"90,0";"2,5";"";"34,6";"";""
"19/02/2023";"1200";"26,1";"73,0";"";"2,1";"140,0";"10,0";"";"";"23,3";"0,0"
"19/02/2023";"1800";"31,8";"63,0";"";"1,0";"140,0";"10,0";"";"";"";""
"20/02/2023";"0000";"27,5";"86,0";"";"1,0";"90,0";"0,0";"";"33,6";"";""
"20/02/2023";"1200";"24,1";"76,0";"";"3,1";"360,0";"7,5";"";"";"23,6";"0,0"
"20/02/2023";"1800";"30,4";"50,0";"";"2,1";"50,0";"6,3";"";"";"";""
"21/02/2023";"0000";"27,9";"69,0";"";"1,0";"50,0";"7,5";"";"33,0";"";""
"21/02/2023";"1200";"25,3";"80,0";"";"2,1";"50,0";"10,0";"";"";"22,9";"0,0"
"21/02/2023";"1800";"30,4";"57,0";"";"1,0";"50,0";"10,0";"";"";"";""
"22/02/2023";"0000";"26,9";"79,0";"";"1,0";"90,0";"0,0";"";"34,6";"";""
"22/02/2023";"1200";"26,5";"66,0";"";"3,1";"50,0";"7,5";"";"";"23,5";"0,0"
"22/02/2023";"1800";"32,0";"49,0";"";"1,0";"90,0";"10,0";"";"";"";""
"23/02/2023";"0000";"28,3";"74,0";"";"1,0";"90,0";"0,0";"";"35,1";"";""
"23/02/2023";"1200";"27,1";"69,0";"";"1,0";"90,0";"5,0";"";"";"23,3";"0,0"
"23/02/2023";"1800";"32,4";"50,0";"";"2,1";"50,0";"10,0";"";"";"";""
"24/02/2023";"0000";"28,9";"75,0";"";"1,0";"50,0";"7,5";"";"33,6";"";""
"24/02/2023";"1200";"26,3";"80,0";"";"1,0";"90,0";"10,0";"";"";"23,3";"0,0"
"24/02/2023";"1800";"31,4";"55,0";"";"2,1";"50,0";"10,0";"";"";"";""
"25/02/2023";"0000";"28,1";"73,0";"";"1,0";"90,0";"0,0";"";"34,6";"";""
"25/02/2023";"1200";"25,1";"76,0";"";"1,0";"90,0";"10,0";"";"";"22,4";"0,0"
"25/02/2023";"1800";"29,8";"58,0";"";"2,1";"90,0";"10,0";"";"";"";""
"26/02/2023";"0000";"29,9";"64,0";"";"1,0";"140,0";"7,5";"";"34,6";"";""
"26/02/2023";"1200";"25,9";"78,0";"";"1,0";"90,0";"7,5";"";"";"23,5";"0,0"
"26/02/2023";"1800";"31,8";"51,0";"";"1,0";"140,0";"10,0";"";"";"";""
"27/02/2023";"0000";"29,9";"64,0";"";"1,0";"140,0";"7,5";"";"36,6";"";""
"27/02/2023";"1200";"27,4";"63,0";"";"1,0";"360,0";"10,0";"";"";"23,0";"0,0"
"27/02/2023";"1800";"33,4";"49,0";"";"0,0";"0,0";"7,5";"";"";"";""
"28/02/2023";"0000";"30,6";"65,0";"";"1,0";"50,0";"10,0";"";"36,9";"";""
