"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/08/2020";"0000";"28,2";"85,0";"";"0,0";"0,0";"6,0";"";"34,2";"";""
"01/08/2020";"1200";"25,4";"93,0";"";"2,0";"50,0";"8,0";"";"";"24,6";"0,0"
"01/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"02/08/2020";"0000";"27,0";"82,0";"";"0,0";"0,0";"8,0";"";"";"";""
"02/08/2020";"1200";"";"";"";"";"";"";"";"";"";""
"02/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"03/08/2020";"0000";"";"";"";"";"";"";"";"34,0";"";""
"03/08/2020";"1200";"25,6";"90,0";"";"0,0";"0,0";"7,0";"";"";"23,4";"0,0"
"03/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"04/08/2020";"0000";"25,2";"94,0";"";"2,0";"50,0";"7,0";"";"30,8";"";""
"04/08/2020";"1200";"24,8";"96,0";"";"2,0";"50,0";"10,0";"";"";"24,4";"0,0"
"04/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"05/08/2020";"0000";"27,2";"94,0";"";"0,0";"0,0";"8,0";"";"32,6";"";""
"05/08/2020";"1200";"24,8";"95,0";"";"0,0";"0,0";"8,0";"";"";"24,4";"0,0"
"05/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"06/08/2020";"0000";"25,4";"95,0";"";"0,0";"0,0";"10,0";"";"31,4";"";""
"06/08/2020";"1200";"24,0";"97,0";"";"5,0";"90,0";"10,0";"";"";"23,8";"4,6"
"06/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"07/08/2020";"0000";"28,8";"87,0";"";"0,0";"0,0";"8,0";"";"32,6";"";""
