"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/02/2020";"0000";"27,6";"81,0";"";"0,0";"0,0";"7,0";"";"33,6";"";""
"01/02/2020";"1200";"26,2";"87,0";"";"2,0";"50,0";"6,0";"";"";"24,4";"0,0"
"01/02/2020";"1800";"32,4";"58,0";"";"3,0";"50,0";"7,0";"";"";"";""
"02/02/2020";"0000";"27,8";"77,0";"";"0,0";"0,0";"10,0";"";"33,8";"";""
"02/02/2020";"1200";"25,0";"81,0";"";"3,0";"50,0";"5,0";"";"";"22,2";"0,0"
"02/02/2020";"1800";"32,0";"53,0";"";"2,0";"50,0";"7,0";"";"";"";""
"03/02/2020";"0000";"26,8";"74,0";"";"0,0";"0,0";"7,0";"";"33,6";"";""
"03/02/2020";"1200";"24,0";"81,0";"";"3,0";"50,0";"6,0";"";"";"20,5";"0,0"
"03/02/2020";"1800";"32,4";"56,0";"";"0,0";"0,0";"7,0";"";"";"";""
"04/02/2020";"0000";"28,4";"73,0";"";"0,0";"0,0";"6,0";"";"34,4";"";""
"04/02/2020";"1200";"25,4";"82,0";"";"2,0";"50,0";"6,0";"";"";"22,6";"0,0"
"04/02/2020";"1800";"33,2";"50,0";"";"3,0";"50,0";"7,0";"";"";"";""
"05/02/2020";"0000";"28,6";"69,0";"";"0,0";"0,0";"6,0";"";"34,0";"";""
"05/02/2020";"1200";"25,2";"76,0";"";"3,0";"50,0";"5,0";"";"";"22,6";"0,0"
"05/02/2020";"1800";"33,0";"47,0";"";"2,0";"50,0";"7,0";"";"";"";""
"06/02/2020";"0000";"28,0";"77,0";"";"0,0";"0,0";"6,0";"";"33,6";"";""
"06/02/2020";"1200";"25,6";"79,0";"";"2,0";"50,0";"5,0";"";"";"23,6";"0,0"
"06/02/2020";"1800";"32,4";"45,0";"";"2,0";"50,0";"6,0";"";"";"";""
"07/02/2020";"0000";"27,4";"66,0";"";"0,0";"0,0";"7,0";"";"33,8";"";""
"07/02/2020";"1200";"24,6";"73,0";"";"3,0";"50,0";"5,0";"";"";"23,4";"0,0"
"07/02/2020";"1800";"32,4";"47,0";"";"2,0";"90,0";"8,0";"";"";"";""
"08/02/2020";"0000";"27,8";"65,0";"";"0,0";"0,0";"6,0";"";"33,2";"";""
"08/02/2020";"1200";"24,6";"70,0";"";"3,0";"50,0";"5,0";"";"";"22,6";"0,0"
"08/02/2020";"1800";"32,2";"49,0";"";"3,0";"50,0";"6,0";"";"";"";""
"09/02/2020";"0000";"27,2";"77,0";"";"0,0";"0,0";"6,0";"";"33,8";"";""
"09/02/2020";"1200";"23,6";"79,0";"";"3,0";"50,0";"9,0";"";"";"22,4";"0,0"
"09/02/2020";"1800";"32,6";"47,0";"";"3,0";"50,0";"7,0";"";"";"";""
"10/02/2020";"0000";"28,2";"68,0";"";"0,0";"0,0";"7,0";"";"33,6";"";""
"10/02/2020";"1200";"24,6";"79,0";"";"2,0";"50,0";"0,0";"";"";"22,0";"0,0"
"10/02/2020";"1800";"31,4";"55,0";"";"2,0";"50,0";"6,0";"";"";"";""
"11/02/2020";"0000";"29,0";"67,0";"";"0,0";"0,0";"6,0";"";"34,6";"";""
"11/02/2020";"1200";"26,2";"72,0";"";"2,0";"50,0";"7,0";"";"";"24,4";"0,0"
"11/02/2020";"1800";"33,6";"46,0";"";"2,0";"50,0";"7,0";"";"";"";""
"12/02/2020";"0000";"29,6";"70,0";"";"0,0";"0,0";"7,0";"";"33,8";"";""
"12/02/2020";"1200";"26,6";"78,0";"";"3,0";"50,0";"6,0";"";"";"25,6";"0,0"
"12/02/2020";"1800";"33,8";"53,0";"";"2,0";"50,0";"7,0";"";"";"";""
"13/02/2020";"0000";"26,8";"81,0";"";"0,0";"0,0";"8,0";"";"33,6";"";""
"13/02/2020";"1200";"26,6";"74,0";"";"3,0";"50,0";"5,0";"";"";"24,2";"0,0"
"13/02/2020";"1800";"32,6";"51,0";"";"2,0";"50,0";"7,0";"";"";"";""
"14/02/2020";"0000";"28,6";"67,0";"";"0,0";"0,0";"6,0";"";"34,0";"";""
"14/02/2020";"1200";"25,2";"78,0";"";"3,0";"50,0";"6,0";"";"";"23,0";"0,0"
"14/02/2020";"1800";"31,2";"56,0";"";"2,0";"50,0";"7,0";"";"";"";""
"15/02/2020";"0000";"28,0";"76,0";"";"0,0";"0,0";"6,0";"";"35,0";"";""
"15/02/2020";"1200";"26,8";"71,0";"";"3,0";"50,0";"6,0";"";"";"24,2";"0,0"
"15/02/2020";"1800";"33,2";"51,0";"";"2,0";"50,0";"7,0";"";"";"";""
"16/02/2020";"0000";"29,4";"67,0";"";"0,0";"0,0";"6,0";"";"36,4";"";""
"16/02/2020";"1200";"26,8";"74,0";"";"2,0";"50,0";"5,0";"";"";"23,0";"0,0"
"16/02/2020";"1800";"34,4";"47,0";"";"2,0";"50,0";"5,0";"";"";"";""
"17/02/2020";"0000";"30,8";"67,0";"";"0,0";"0,0";"6,0";"";"33,0";"";""
"17/02/2020";"1200";"27,4";"74,0";"";"2,0";"50,0";"7,0";"";"";"23,0";"0,0"
"17/02/2020";"1800";"31,8";"57,0";"";"0,0";"0,0";"7,0";"";"";"";""
"18/02/2020";"0000";"29,4";"72,0";"";"0,0";"0,0";"7,0";"";"33,8";"";""
"18/02/2020";"1200";"26,4";"82,0";"";"3,0";"50,0";"5,0";"";"";"24,2";"0,0"
"18/02/2020";"1800";"32,4";"62,0";"";"2,0";"50,0";"5,0";"";"";"";""
"19/02/2020";"0000";"29,0";"75,0";"";"0,0";"0,0";"6,0";"";"35,0";"";""
"19/02/2020";"1200";"26,4";"73,0";"";"3,0";"50,0";"6,0";"";"";"23,2";"0,0"
"19/02/2020";"1800";"33,8";"46,0";"";"3,0";"50,0";"5,0";"";"";"";""
"20/02/2020";"0000";"29,2";"66,0";"";"0,0";"0,0";"5,0";"";"34,8";"";""
"20/02/2020";"1200";"26,0";"73,0";"";"3,0";"50,0";"5,0";"";"";"24,0";"0,0"
"20/02/2020";"1800";"33,2";"44,0";"";"3,0";"50,0";"6,0";"";"";"";""
"21/02/2020";"0000";"28,7";"70,0";"";"0,0";"0,0";"6,0";"";"34,8";"";""
"21/02/2020";"1200";"26,8";"70,0";"";"2,0";"50,0";"7,0";"";"";"23,2";"0,0"
"21/02/2020";"1800";"33,6";"43,0";"";"2,0";"50,0";"6,0";"";"";"";""
"22/02/2020";"0000";"29,2";"72,0";"";"0,0";"0,0";"6,0";"";"36,6";"";""
"22/02/2020";"1200";"26,4";"76,0";"";"2,0";"50,0";"5,0";"";"";"23,0";"0,0"
"22/02/2020";"1800";"35,0";"46,0";"";"2,0";"50,0";"6,0";"";"";"";""
"23/02/2020";"0000";"31,0";"64,0";"";"0,0";"0,0";"5,0";"";"37,0";"";""
"23/02/2020";"1200";"28,8";"70,0";"";"2,0";"50,0";"5,0";"";"";"24,2";"0,0"
"23/02/2020";"1800";"36,2";"49,0";"";"2,0";"50,0";"6,0";"";"";"";""
"24/02/2020";"0000";"31,4";"66,0";"";"0,0";"0,0";"7,0";"";"31,4";"";""
