"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/02/2022";"0000";"23,5";"96,0";"983,8";"0,0";"0,0";"0,0";"3,70";"32,3";"";""
"01/02/2022";"1200";"24,2";"91,0";"986,2";"1,0";"320,0";"8,8";"";"";"22,5";"4,6"
"01/02/2022";"1800";"31,2";"60,0";"982,7";"1,0";"50,0";"7,0";"";"";"";""
"02/02/2022";"0000";"24,5";"93,0";"983,6";"0,0";"0,0";"2,5";"1,70";"29,3";"";""
"02/02/2022";"1200";"27,8";"81,0";"985,4";"0,8";"180,0";"2,0";"";"";"21,0";"0,1"
"02/02/2022";"1800";"25,2";"94,0";"983,9";"0,8";"140,0";"10,0";"";"";"";""
"03/02/2022";"0000";"24,1";"96,0";"983,9";"0,0";"0,0";"3,8";"6,50";"33,2";"";""
"03/02/2022";"1200";"24,3";"96,0";"985,6";"0,8";"140,0";"8,8";"";"";"22,0";"5,4"
"03/02/2022";"1800";"31,4";"64,0";"983,1";"0,8";"320,0";"7,0";"";"";"";""
"04/02/2022";"0000";"26,1";"91,0";"982,7";"0,0";"0,0";"3,8";"4,30";"32,4";"";""
"04/02/2022";"1200";"27,4";"";"985,5";"1,0";"270,0";"5,0";"";"";"23,0";"0,0"
"04/02/2022";"1800";"24,8";"88,0";"983,6";"1,0";"270,0";"7,0";"";"";"";""
"05/02/2022";"0000";"23,6";"95,0";"982,8";"0,0";"0,0";"6,3";"6,00";"31,9";"";""
"05/02/2022";"1200";"24,0";"94,0";"985,1";"0,8";"320,0";"10,0";"";"";"20,8";"2,5"
"05/02/2022";"1800";"30,8";"65,0";"982,3";"0,8";"270,0";"6,3";"";"";"";""
"06/02/2022";"0000";"25,1";"88,0";"983,1";"0,8";"90,0";"2,0";"1,70";"30,6";"";""
"06/02/2022";"1200";"25,6";"87,0";"986,0";"0,8";"320,0";"7,5";"";"";"23,7";"0,0"
"06/02/2022";"1800";"29,3";"72,0";"982,8";"0,8";"230,0";"7,5";"";"";"";""
"07/02/2022";"0000";"25,4";"88,0";"984,6";"0,8";"270,0";"2,5";"6,50";"33,0";"";""
"07/02/2022";"1200";"25,3";"86,0";"986,2";"0,8";"50,0";"5,0";"";"";"21,6";"8,2"
"07/02/2022";"1800";"30,0";"65,0";"982,0";"0,8";"90,0";"10,0";"";"";"";""
"08/02/2022";"0000";"24,2";"96,0";"984,0";"0,0";"0,0";"10,0";"5,60";"27,5";"";""
"08/02/2022";"1200";"27,2";"84,0";"985,1";"0,8";"320,0";"3,8";"";"";"20,4";"41,3"
"08/02/2022";"1800";"25,7";"79,0";"981,9";"0,8";"50,0";"7,5";"";"";"";""
"09/02/2022";"0000";"25,5";"94,0";"982,7";"0,8";"50,0";"2,5";"3,10";"32,4";"";""
"09/02/2022";"1200";"26,2";"86,0";"984,4";"0,8";"320,0";"7,0";"";"";"23,0";"0,0"
"09/02/2022";"1800";"31,5";"62,0";"981,0";"0,8";"320,0";"8,8";"";"";"";""
"10/02/2022";"0000";"22,5";"96,0";"983,0";"0,8";"90,0";"10,0";"1,30";"28,9";"";""
"10/02/2022";"1200";"25,2";"88,0";"986,0";"0,8";"320,0";"8,8";"";"";"21,5";"16,5"
"10/02/2022";"1800";"28,2";"74,0";"983,0";"0,8";"230,0";"10,0";"";"";"";""
"11/02/2022";"0000";"23,7";"92,0";"983,1";"0,8";"230,0";"10,0";"1,70";"30,9";"";""
"11/02/2022";"1200";"23,6";"93,0";"985,5";"0,8";"230,0";"10,0";"";"";"22,0";"0,0"
"11/02/2022";"1800";"28,7";"73,0";"981,8";"0,8";"230,0";"7,5";"";"";"";""
"12/02/2022";"0000";"22,9";"93,0";"983,4";"0,8";"230,0";"10,0";"2,40";"30,5";"";""
"12/02/2022";"1200";"24,2";"87,0";"986,3";"0,8";"50,0";"7,5";"";"";"21,8";"2,0"
"12/02/2022";"1800";"28,6";"74,0";"981,9";"0,8";"320,0";"7,0";"";"";"";""
"13/02/2022";"0000";"23,1";"90,0";"984,7";"0,8";"50,0";"10,0";"5,80";"30,5";"";""
"13/02/2022";"1200";"24,5";"87,0";"985,9";"0,8";"320,0";"10,0";"";"";"21,9";"10,4"
"13/02/2022";"1800";"29,6";"68,0";"982,6";"1,2";"320,0";"7,5";"";"";"";""
"14/02/2022";"0000";"25,8";"89,0";"984,0";"0,8";"90,0";"10,0";"5,80";"33,3";"";""
"14/02/2022";"1200";"24,8";"87,0";"986,4";"0,8";"140,0";"7,0";"";"";"22,2";"1,3"
"14/02/2022";"1800";"32,2";"57,0";"982,0";"0,8";"230,0";"7,0";"";"";"";""
"15/02/2022";"0000";"26,0";"85,0";"984,0";"0,8";"140,0";"10,0";"6,70";"33,1";"";""
"15/02/2022";"1200";"27,7";"77,0";"985,6";"0,8";"140,0";"3,8";"";"";"22,8";"0,0"
"15/02/2022";"1800";"28,1";"78,0";"982,0";"0,8";"230,0";"10,0";"";"";"";""
"16/02/2022";"0000";"24,6";"92,0";"985,1";"0,8";"320,0";"10,0";"0,80";"28,5";"";""
"16/02/2022";"1200";"22,6";"97,0";"987,9";"0,8";"50,0";"10,0";"";"";"22,5";"45,0"
"16/02/2022";"1800";"27,1";"76,0";"985,0";"1,0";"320,0";"10,0";"";"";"";""
"17/02/2022";"0000";"21,4";"94,0";"988,4";"0,8";"50,0";"10,0";"4,20";"30,9";"";""
"17/02/2022";"1200";"23,4";"88,0";"986,4";"0,8";"50,0";"8,8";"";"";"20,5";"19,1"
"17/02/2022";"1800";"";"";"";"";"";"";"";"";"";""
"18/02/2022";"0000";"24,7";"93,0";"983,4";"0,8";"230,0";"6,3";"9,30";"33,8";"";""
"18/02/2022";"1200";"26,1";"89,0";"985,0";"0,8";"230,0";"7,0";"";"";"21,5";"11,7"
"18/02/2022";"1800";"32,8";"51,0";"980,0";"0,8";"320,0";"6,3";"";"";"";""
"19/02/2022";"0000";"25,6";"88,0";"981,6";"0,8";"320,0";"7,0";"0,00";"26,5";"";""
