"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/08/2019";"0000";"27,2";"50,0";"979,7";"0,0";"0,0";"2,5";"9,50";"38,2";"";""
"01/08/2019";"1200";"26,1";"66,0";"980,3";"1,2";"140,0";"2,0";"";"";"20,0";"0,0"
"01/08/2019";"1800";"37,6";"25,0";"977,7";"2,0";"360,0";"4,0";"";"";"";""
"02/08/2019";"0000";"27,6";"52,0";"979,9";"0,0";"0,0";"0,0";"10,00";"39,2";"";""
"02/08/2019";"1200";"29,0";"38,0";"981,5";"2,4";"90,0";"0,0";"";"";"20,4";"0,0"
"02/08/2019";"1800";"38,4";"27,0";"978,7";"2,4";"50,0";"5,0";"";"";"";""
"03/08/2019";"0000";"28,2";"46,0";"980,8";"0,0";"0,0";"1,3";"8,90";"39,4";"";""
"03/08/2019";"1200";"31,9";"31,0";"981,9";"4,8";"90,0";"1,3";"";"";"22,4";"0,0"
"03/08/2019";"1800";"37,1";"27,0";"979,3";"2,4";"50,0";"3,8";"";"";"";""
"04/08/2019";"0000";"28,0";"49,0";"980,6";"0,0";"0,0";"0,0";"9,90";"39,7";"";""
"04/08/2019";"1200";"26,7";"55,0";"982,9";"2,0";"140,0";"5,0";"";"";"20,8";"0,0"
"04/08/2019";"1800";"39,0";"21,0";"978,9";"4,4";"90,0";"3,8";"";"";"";""
"05/08/2019";"0000";"28,1";"39,0";"980,9";"0,0";"0,0";"2,0";"8,10";"36,4";"";""
"05/08/2019";"1200";"29,8";"48,0";"984,1";"4,8";"90,0";"3,8";"";"";"20,9";"0,0"
"05/08/2019";"1800";"35,6";"28,0";"981,7";"2,8";"90,0";"7,0";"";"";"";""
"06/08/2019";"0000";"28,1";"57,0";"983,9";"0,0";"0,0";"5,0";"9,90";"35,0";"";""
"06/08/2019";"1200";"27,0";"41,0";"985,5";"12,8";"90,0";"0,0";"";"";"24,8";"0,0"
"06/08/2019";"1800";"34,1";"27,0";"983,4";"2,6";"90,0";"0,0";"";"";"";""
"07/08/2019";"0000";"25,5";"57,0";"985,5";"0,0";"0,0";"0,0";"9,90";"36,4";"";""
